Va_V,Q_pside_C_cm2,C_numeric_F_cm2,C_analytic_boltzmann_F_cm2,C_analytic_fd_F_cm2
0.4500,5.612068e-07,1.833329e-08,1.215044e-07,1.182598e-07
0.4690,5.608591e-07,1.833503e-08,1.236530e-07,1.202415e-07
0.4879,5.605113e-07,1.833841e-08,1.259639e-07,1.223708e-07
0.5069,5.601635e-07,1.834149e-08,1.285012e-07,1.247094e-07
0.5259,5.598156e-07,1.834401e-08,1.313877e-07,1.273781e-07
0.5448,5.594677e-07,1.834544e-08,1.348684e-07,1.306186e-07
0.5638,5.591197e-07,1.834471e-08,1.394408e-07,1.349243e-07
0.5828,5.587718e-07,1.833970e-08,1.461259e-07,1.413109e-07
0.6017,5.584241e-07,1.832613e-08,1.570340e-07,1.518803e-07
0.6207,5.580767e-07,1.829541e-08,1.765407e-07,1.709948e-07
0.6397,5.577301e-07,1.823051e-08,2.137364e-07,2.077219e-07
0.6586,5.573852e-07,1.809857e-08,2.875272e-07,2.809251e-07
0.6776,5.570436e-07,1.784018e-08,4.372567e-07,4.298669e-07
0.6966,5.567085e-07,1.736077e-08,7.448266e-07,7.362877e-07
0.7155,5.563851e-07,1.654448e-08,1.380763e-06,1.370389e-06
0.7345,5.560810e-07,1.531783e-08,2.700154e-06,2.686595e-06
0.7534,5.558041e-07,1.374021e-08,5.442445e-06,5.422985e-06
0.7724,5.555598e-07,1.201598e-08,1.114753e-05,1.111663e-05
0.7914,5.553483e-07,1.038119e-08,2.302232e-05,2.296859e-05
0.8103,5.551660e-07,8.983169e-09,4.774540e-05,4.764529e-05
0.8293,5.550076e-07,7.859675e-09,9.922548e-05,9.903019e-05
0.8483,5.548679e-07,6.984568e-09,2.064287e-04,2.060369e-04
0.8672,5.547427e-07,6.311891e-09,4.296799e-04,4.288808e-04
0.8862,5.546285e-07,5.797581e-09,8.946113e-04,8.929665e-04
0.9052,5.545227e-07,5.405978e-09,1.862865e-03,1.859462e-03
0.9241,5.544234e-07,5.110008e-09,3.879336e-03,3.872276e-03
0.9431,5.543289e-07,4.889584e-09,8.078828e-03,8.064155e-03
0.9621,5.542380e-07,4.729875e-09,1.682468e-02,1.679416e-02
0.9810,5.541495e-07,4.619901e-09,3.503882e-02,3.497528e-02
1.0000,5.540627e-07,4.576179e-09,7.297173e-02,7.283934e-02
