Va,x_cm,psi_V,n_cm-3,p_cm-3,phin_V,phip_V
0.448276,-9.340798e-04,0.031591,1.000000e+03,1.000000e+17,0.448276,0.448276
0.448276,-9.225255e-04,0.031591,7.183571e+06,1.000000e+17,0.218722,0.448276
0.448276,-9.038439e-04,0.031591,4.748545e+07,1.000000e+17,0.169897,0.448276
0.448276,-8.851623e-04,0.031591,9.745154e+07,1.000000e+17,0.151311,0.448276
0.448276,-8.664807e-04,0.031591,1.497251e+08,1.000000e+17,0.140209,0.448276
0.448276,-8.477992e-04,0.031591,2.038676e+08,1.000000e+17,0.132229,0.448276
0.448276,-8.291176e-04,0.031591,2.601989e+08,1.000000e+17,0.125922,0.448276
0.448276,-8.104360e-04,0.031591,3.192059e+08,1.000000e+17,0.120638,0.448276
0.448276,-7.917544e-04,0.031591,3.814457e+08,1.000000e+17,0.116033,0.448276
0.448276,-7.730728e-04,0.031591,4.475240e+08,1.000000e+17,0.111903,0.448276
0.448276,-7.543912e-04,0.031591,5.180919e+08,1.000000e+17,0.108117,0.448276
0.448276,-7.357096e-04,0.031591,5.938491e+08,1.000000e+17,0.104589,0.448276
0.448276,-7.170280e-04,0.031591,6.755492e+08,1.000000e+17,0.101257,0.448276
0.448276,-6.983464e-04,0.031591,7.640063e+08,1.000000e+17,0.098076,0.448276
0.448276,-6.796648e-04,0.031591,8.601026e+08,1.000000e+17,0.095013,0.448276
0.448276,-6.609832e-04,0.031591,9.647971e+08,1.000000e+17,0.092044,0.448276
0.448276,-6.423016e-04,0.031591,1.079135e+09,1.000000e+17,0.089148,0.448276
0.448276,-6.236200e-04,0.031591,1.204258e+09,1.000000e+17,0.086312,0.448276
0.448276,-6.049384e-04,0.031591,1.341417e+09,1.000000e+17,0.083524,0.448276
0.448276,-5.862568e-04,0.031591,1.491980e+09,1.000000e+17,0.080774,0.448276
0.448276,-5.675752e-04,0.031591,1.657453e+09,1.000000e+17,0.078054,0.448276
0.448276,-5.488936e-04,0.031591,1.839487e+09,1.000000e+17,0.075361,0.448276
0.448276,-5.302120e-04,0.031591,2.039903e+09,1.000000e+17,0.072687,0.448276
0.448276,-5.115304e-04,0.031591,2.260702e+09,1.000000e+17,0.070030,0.448276
0.448276,-4.928488e-04,0.031590,2.504090e+09,1.000000e+17,0.067387,0.448275
0.448276,-4.741672e-04,0.031590,2.772498e+09,1.000000e+17,0.064754,0.448275
0.448276,-4.554857e-04,0.031590,3.068610e+09,1.000000e+17,0.062131,0.448275
0.448276,-4.368041e-04,0.031590,3.395382e+09,1.000000e+17,0.059515,0.448275
0.448276,-4.181225e-04,0.031590,3.756081e+09,1.000000e+17,0.056905,0.448275
0.448276,-3.994409e-04,0.031590,4.154309e+09,1.000000e+17,0.054300,0.448275
0.448276,-3.807593e-04,0.031590,4.594047e+09,1.000000e+17,0.051699,0.448275
0.448276,-3.620777e-04,0.031590,5.079687e+09,1.000000e+17,0.049101,0.448275
0.448276,-3.433961e-04,0.031590,5.616081e+09,1.000000e+17,0.046506,0.448275
0.448276,-3.247145e-04,0.031590,6.208590e+09,1.000000e+17,0.043913,0.448275
0.448276,-3.063338e-04,0.031590,6.852116e+09,1.000000e+17,0.041363,0.448275
0.448276,-2.889936e-04,0.031590,7.520031e+09,1.000000e+17,0.038959,0.448275
0.448276,-2.726348e-04,0.031590,8.209544e+09,1.000000e+17,0.036691,0.448275
0.448276,-2.572020e-04,0.031590,8.917746e+09,1.000000e+17,0.034551,0.448275
0.448276,-2.426428e-04,0.031590,9.641662e+09,1.000000e+17,0.032534,0.448275
0.448276,-2.289077e-04,0.031590,1.037830e+10,1.000000e+17,0.030630,0.448275
0.448276,-2.159501e-04,0.031590,1.112468e+10,1.000000e+17,0.028835,0.448275
0.448276,-2.037259e-04,0.031590,1.187788e+10,1.000000e+17,0.027141,0.448275
0.448276,-1.921936e-04,0.031590,1.263509e+10,1.000000e+17,0.025544,0.448275
0.448276,-1.813141e-04,0.031590,1.339358e+10,1.000000e+17,0.024037,0.448275
0.448276,-1.710504e-04,0.031590,1.415079e+10,1.000000e+17,0.022615,0.448275
0.448276,-1.613677e-04,0.031590,1.490431e+10,1.000000e+17,0.021274,0.448275
0.448276,-1.522331e-04,0.031590,1.565188e+10,1.000000e+17,0.020008,0.448275
0.448276,-1.436155e-04,0.031590,1.639146e+10,1.000000e+17,0.018815,0.448275
0.448276,-1.354857e-04,0.031590,1.712115e+10,1.000000e+17,0.017689,0.448275
0.448276,-1.278161e-04,0.031590,1.783927e+10,1.000000e+17,0.016627,0.448275
0.448276,-1.205806e-04,0.031590,1.854432e+10,1.000000e+17,0.015625,0.448275
0.448276,-1.137547e-04,0.031590,1.923496e+10,1.000000e+17,0.014679,0.448275
0.448276,-1.073152e-04,0.031590,1.991005e+10,1.000000e+17,0.013787,0.448275
0.448276,-1.012401e-04,0.031590,2.056862e+10,1.000000e+17,0.012946,0.448275
0.448276,-9.550892e-05,0.031590,2.120986e+10,1.000000e+17,0.012153,0.448275
0.448276,-9.010214e-05,0.031590,2.183310e+10,1.000000e+17,0.011404,0.448275
0.448276,-8.500141e-05,0.031590,2.243783e+10,1.000000e+17,0.010698,0.448275
0.448276,-8.018940e-05,0.031590,2.302367e+10,1.000000e+17,0.010031,0.448275
0.448276,-7.564977e-05,0.031590,2.359036e+10,1.000000e+17,0.009403,0.448275
0.448276,-7.136710e-05,0.031590,2.413774e+10,1.000000e+17,0.008810,0.448275
0.448276,-6.732684e-05,0.031590,2.466576e+10,1.000000e+17,0.008250,0.448275
0.448276,-6.351528e-05,0.031590,2.517448e+10,1.000000e+17,0.007722,0.448275
0.448276,-5.991946e-05,0.031590,2.566401e+10,1.000000e+17,0.007225,0.448275
0.448276,-5.652718e-05,0.031590,2.613455e+10,1.000000e+17,0.006755,0.448275
0.448276,-5.332692e-05,0.031590,2.658635e+10,1.000000e+17,0.006312,0.448275
0.448276,-5.030781e-05,0.031590,2.701973e+10,1.000000e+17,0.005894,0.448275
0.448276,-4.745959e-05,0.031590,2.743505e+10,1.000000e+17,0.005499,0.448275
0.448276,-4.477258e-05,0.031590,2.783271e+10,1.000000e+17,0.005127,0.448275
0.448276,-4.223768e-05,0.031590,2.821314e+10,1.000000e+17,0.004776,0.448275
0.448276,-3.984626e-05,0.031590,2.857680e+10,1.000000e+17,0.004445,0.448275
0.448276,-3.759020e-05,0.031590,2.892416e+10,1.000000e+17,0.004133,0.448275
0.448276,-3.546184e-05,0.031590,2.925573e+10,1.000000e+17,0.003838,0.448275
0.448276,-3.345396e-05,0.031590,2.957202e+10,1.000000e+17,0.003560,0.448275
0.448276,-3.155973e-05,0.031590,2.987353e+10,1.000000e+17,0.003298,0.448275
0.448276,-2.977272e-05,0.031590,3.016079e+10,1.000000e+17,0.003051,0.448275
0.448276,-2.808686e-05,0.031590,3.043433e+10,1.000000e+17,0.002817,0.448275
0.448276,-2.649643e-05,0.031590,3.069466e+10,9.999999e+16,0.002597,0.448275
0.448276,-2.499602e-05,0.031590,3.094231e+10,9.999990e+16,0.002389,0.448275
0.448276,-2.358054e-05,0.031590,3.117783e+10,9.999965e+16,0.002193,0.448275
0.448276,-2.224518e-05,0.031590,3.140179e+10,9.999899e+16,0.002008,0.448275
0.448276,-2.098541e-05,0.031591,3.161486e+10,9.999735e+16,0.001834,0.448275
0.448276,-1.979695e-05,0.031592,3.181793e+10,9.999348e+16,0.001670,0.448275
0.448276,-1.867576e-05,0.031594,3.201232e+10,9.998475e+16,0.001514,0.448275
0.448276,-1.761803e-05,0.031599,3.220016e+10,9.996597e+16,0.001368,0.448275
0.448276,-1.662017e-05,0.031609,3.238510e+10,9.992738e+16,0.001230,0.448275
0.448276,-1.567880e-05,0.031629,3.257337e+10,9.985137e+16,0.001100,0.448275
0.448276,-1.479071e-05,0.031666,3.277548e+10,9.970765e+16,0.000977,0.448275
0.448276,-1.395289e-05,0.031734,3.300873e+10,9.944640e+16,0.000862,0.448275
0.448276,-1.316249e-05,0.031853,3.330069e+10,9.898938e+16,0.000753,0.448275
0.448276,-1.241684e-05,0.032055,3.369415e+10,9.821947e+16,0.000651,0.448275
0.448276,-1.171339e-05,0.032385,3.425378e+10,9.697072e+16,0.000556,0.448275
0.448276,-1.104975e-05,0.032910,3.507547e+10,9.502281e+16,0.000468,0.448275
0.448276,-1.042369e-05,0.033716,3.629956e+10,9.210713e+16,0.000387,0.448275
0.448276,-9.833057e-06,0.034914,3.813079e+10,8.793391e+16,0.000313,0.448275
0.448276,-9.275859e-06,0.036642,4.086973e+10,8.224967e+16,0.000247,0.448275
0.448276,-8.750201e-06,0.039053,4.496438e+10,7.492542e+16,0.000190,0.448275
0.448276,-8.254297e-06,0.042310,5.109713e+10,6.605642e+16,0.000142,0.448275
0.448276,-7.786462e-06,0.046566,6.033360e+10,5.602948e+16,0.000102,0.448275
0.448276,-7.345109e-06,0.051946,7.437937e+10,4.550342e+16,0.000071,0.448275
0.448276,-6.928739e-06,0.058526,9.602475e+10,3.527797e+16,0.000048,0.448275
0.448276,-6.535936e-06,0.066324,1.299182e+11,2.609132e+16,0.000031,0.448275
0.448276,-6.165367e-06,0.075298,1.839136e+11,1.843926e+16,0.000020,0.448275
0.448276,-5.815775e-06,0.085351,2.714151e+11,1.249824e+16,0.000012,0.448275
0.448276,-5.485970e-06,0.096352,4.154499e+11,8.166647e+15,0.000008,0.448275
0.448276,-5.174833e-06,0.108147,6.556965e+11,5.174980e+15,0.000005,0.448275
0.448276,-4.881309e-06,0.120575,1.060513e+12,3.199818e+15,0.000003,0.448275
0.448276,-4.604398e-06,0.133482,1.747282e+12,1.942209e+15,0.000002,0.448275
0.448276,-4.343162e-06,0.146724,2.916341e+12,1.163674e+15,0.000001,0.448275
0.448276,-4.096713e-06,0.160173,4.906617e+12,6.916619e+14,0.000001,0.448275
0.448276,-3.864214e-06,0.173717,8.285170e+12,4.096174e+14,0.000001,0.448275
0.448276,-3.644875e-06,0.187256,1.398827e+13,2.426152e+14,0.000000,0.448275
0.448276,-3.437951e-06,0.200710,2.353871e+13,1.441784e+14,0.000000,0.448275
0.448276,-3.242740e-06,0.214009,3.937252e+13,8.619656e+13,0.000000,0.448275
0.448276,-3.058579e-06,0.227095,6.531746e+13,5.195811e+13,0.000000,0.448275
0.448276,-2.884842e-06,0.239921,1.072754e+14,3.163598e+13,0.000000,0.448275
0.448276,-2.720939e-06,0.252450,1.741684e+14,1.948548e+13,0.000000,0.448275
0.448276,-2.566314e-06,0.264651,2.792113e+14,1.215475e+13,0.000000,0.448274
0.448276,-2.420441e-06,0.276501,4.415750e+14,7.685523e+12,0.000000,0.448274
0.448276,-2.282825e-06,0.287983,6.884902e+14,4.929227e+12,0.000000,0.448274
0.448276,-2.152999e-06,0.299085,1.057825e+15,3.208201e+12,0.000000,0.448274
0.448276,-2.030521e-06,0.309801,1.601140e+15,2.119557e+12,0.000000,0.448274
0.448276,-1.914976e-06,0.320126,2.387179e+15,1.421636e+12,0.000000,0.448274
0.448276,-1.805971e-06,0.330061,3.505726e+15,9.680424e+11,0.000000,0.448274
0.448276,-1.703137e-06,0.339607,5.071697e+15,6.691416e+11,0.000000,0.448274
0.448276,-1.606123e-06,0.348771,7.229317e+15,4.694326e+11,0.000000,0.448274
0.448276,-1.514600e-06,0.357559,1.015619e+16,3.341479e+11,0.000000,0.448274
0.448276,-1.428258e-06,0.365981,1.406714e+16,2.412477e+11,0.000000,0.448274
0.448276,-1.346804e-06,0.374046,1.921754e+16,1.765918e+11,0.000000,0.448274
0.448276,-1.269960e-06,0.381767,2.590625e+16,1.309975e+11,0.000000,0.448274
0.448276,-1.197465e-06,0.389156,3.447784e+16,9.842990e+10,0.000000,0.448274
0.448276,-1.129075e-06,0.396228,4.532442e+16,7.487455e+10,0.000000,0.448274
0.448276,-1.064555e-06,0.402995,5.888698e+16,5.762974e+10,0.000000,0.448274
0.448276,-1.003687e-06,0.409473,7.565655e+16,4.485583e+10,0.000000,0.448274
0.448276,-9.462648e-07,0.415677,9.617535e+16,3.528591e+10,0.000000,0.448274
0.448276,-8.920928e-07,0.421621,1.210382e+17,2.803768e+10,0.000000,0.448274
0.448276,-8.409871e-07,0.427321,1.508946e+17,2.249005e+10,0.000000,0.448274
0.448276,-7.927742e-07,0.432791,1.864515e+17,1.820111e+10,0.000000,0.448274
0.448276,-7.472904e-07,0.438046,2.284770e+17,1.485323e+10,0.000000,0.448274
0.448276,-7.043810e-07,0.443099,2.778054e+17,1.221582e+10,0.000000,0.448273
0.448276,-6.639006e-07,0.447966,3.353437e+17,1.011982e+10,0.000000,0.448273
0.448276,-6.257114e-07,0.452658,4.020790e+17,8.440169e+09,0.000000,0.448273
0.448276,-5.896840e-07,0.457188,4.790877e+17,7.083490e+09,0.000000,0.448273
0.448276,-5.556958e-07,0.461568,5.675461e+17,5.979445e+09,0.000000,0.448273
0.448276,-5.236314e-07,0.465810,6.687421e+17,5.074616e+09,0.000000,0.448273
0.448276,-4.933821e-07,0.469923,7.840885e+17,4.328092e+09,0.000000,0.448273
0.448276,-4.648449e-07,0.473919,9.151381e+17,3.708299e+09,0.000000,0.448273
0.448276,-4.379231e-07,0.477805,1.063599e+18,3.190680e+09,0.000000,0.448273
0.448276,-4.125252e-07,0.481592,1.231351e+18,2.755999e+09,0.000000,0.448273
0.448276,-3.885648e-07,0.485285,1.420467e+18,2.389074e+09,0.000000,0.448273
0.448276,-3.659607e-07,0.488893,1.633229e+18,2.077846e+09,0.000000,0.448273
0.448276,-3.446361e-07,0.492423,1.872153e+18,1.812671e+09,0.000000,0.448273
0.448276,-3.245186e-07,0.495880,2.140007e+18,1.585787e+09,0.000000,0.448273
0.448276,-3.055398e-07,0.499270,2.439838e+18,1.390909e+09,0.000000,0.448273
0.448276,-2.876352e-07,0.502597,2.774996e+18,1.222917e+09,0.000000,0.448273
0.448276,-2.707441e-07,0.505867,3.149159e+18,1.077617e+09,0.000000,0.448273
0.448276,-2.548091e-07,0.509083,3.566361e+18,9.515543e+08,0.000000,0.448273
0.448276,-2.397761e-07,0.512250,4.031021e+18,8.418671e+08,0.000000,0.448273
0.448276,-2.255940e-07,0.515369,4.547970e+18,7.461751e+08,0.000000,0.448273
0.448276,-2.122147e-07,0.518444,5.122483e+18,6.624873e+08,0.000000,0.448273
0.448276,-1.995927e-07,0.521478,5.760308e+18,5.891313e+08,0.000000,0.448273
0.448276,-1.876852e-07,0.524472,6.467698e+18,5.246960e+08,0.000000,0.448273
0.448276,-1.764516e-07,0.527429,7.251441e+18,4.679860e+08,0.000000,0.448273
0.448276,-1.658539e-07,0.530351,8.118889e+18,4.179845e+08,0.000000,0.448273
