Va_V,I_numeric_A,I_shockley_A,self_consistency_pct
0.4500,6.714311e-07,1.086552e-07,0.8424
0.4690,1.065827e-06,2.262857e-07,0.4012
0.4879,1.726674e-06,4.712635e-07,0.4791
0.5069,2.863747e-06,9.814553e-07,0.4852
0.5259,4.874506e-06,2.043983e-06,0.0974
0.5448,8.526808e-06,4.256806e-06,0.0587
0.5638,1.532793e-05,8.865240e-06,0.0232
0.5828,2.827346e-05,1.846278e-05,0.0147
0.6017,5.336970e-05,3.845066e-05,0.0134
0.6207,1.027188e-04,8.007750e-05,0.0082
0.6397,2.007028e-04,1.667697e-04,0.0036
0.6586,3.960590e-04,3.473152e-04,0.0010
0.6776,7.841431e-04,7.233201e-04,0.0007
0.6966,1.543131e-03,1.506389e-03,0.0002
0.7155,2.977516e-03,3.137212e-03,0.0002
0.7345,5.531327e-03,6.533570e-03,0.0002
0.7534,9.705512e-03,1.360684e-02,0.0001
0.7724,1.588222e-02,2.833765e-02,0.0000
0.7914,2.420269e-02,5.901610e-02,0.0000
0.8103,3.460677e-02,1.229072e-01,0.0000
0.8293,4.695342e-02,2.559669e-01,0.0000
0.8483,6.111088e-02,5.330777e-01,0.0000
0.8672,7.699313e-02,1.110190e+00,0.0000
0.8862,9.456465e-02,2.312085e+00,0.0000
0.9052,1.138335e-01,4.815158e+00,0.0000
0.9241,1.348422e-01,1.002807e+01,0.0000
0.9431,1.576599e-01,2.088449e+01,0.0000
0.9621,1.823756e-01,4.349412e+01,0.0000
0.9810,2.090946e-01,9.058102e+01,0.0000
1.0000,2.379340e-01,1.886444e+02,0.0000
