Va_V,Q_pside_C_cm2,C_numeric_F_cm2,C_analytic_boltzmann_F_cm2
-2.0000,9.059864e-08,1.699472e-08,1.649188e-08
-1.7833,8.691645e-08,1.737041e-08,1.717635e-08
-1.5667,8.307146e-08,1.817615e-08,1.795378e-08
-1.3500,7.904012e-08,1.910469e-08,1.884733e-08
-1.1333,7.479276e-08,2.018968e-08,1.988912e-08
-0.9167,7.029126e-08,2.147811e-08,2.112527e-08
-0.7000,6.548558e-08,2.303707e-08,2.262484e-08
-0.4833,6.030853e-08,2.496435e-08,2.449700e-08
-0.2667,5.466770e-08,2.740530e-08,2.692700e-08
-0.0500,4.843290e-08,3.044402e-08,3.026138e-08
0.0000,4.689145e-08,3.126515e-08,3.122371e-08
0.0250,4.610437e-08,3.171143e-08,3.174063e-08
0.0500,4.530588e-08,3.217580e-08,3.228411e-08
0.0750,4.449558e-08,3.265654e-08,3.285649e-08
0.1000,4.367306e-08,3.315442e-08,3.346044e-08
0.1250,4.283786e-08,3.367025e-08,3.409896e-08
0.1500,4.198954e-08,3.420488e-08,3.477550e-08
0.1750,4.112762e-08,3.475919e-08,3.549397e-08
0.2000,4.025158e-08,3.533413e-08,3.625890e-08
0.2250,3.936091e-08,3.593068e-08,3.707553e-08
0.2500,3.845505e-08,3.654988e-08,3.795000e-08
0.2750,3.753342e-08,3.719282e-08,3.888953e-08
0.3000,3.659541e-08,3.786064e-08,3.990279e-08
0.3250,3.564039e-08,3.855451e-08,4.100042e-08
0.3500,3.466768e-08,3.927564e-08,4.219600e-08
0.3750,3.367660e-08,4.002519e-08,4.350812e-08
0.4000,3.266642e-08,4.080425e-08,4.496501e-08
0.4250,3.163639e-08,4.161352e-08,4.661579e-08
0.4500,3.058575e-08,4.245285e-08,4.855872e-08
0.4750,2.951375e-08,4.331989e-08,5.101382e-08
0.5000,2.841975e-08,4.420692e-08,5.451122e-08
0.5250,2.730340e-08,4.509314e-08,6.038292e-08
0.5500,2.616510e-08,4.592651e-08,7.205110e-08
0.5750,2.500708e-08,4.658498e-08,9.840862e-08
0.6000,2.383585e-08,4.681453e-08,1.626986e-07
0.6250,2.266635e-08,4.620639e-08,3.258511e-07
0.6500,2.152553e-08,4.439220e-08,7.478370e-07
0.6750,2.044674e-08,4.144558e-08,1.849008e-06
0.7000,1.945325e-08,3.794125e-08,4.734475e-06
0.7250,1.854968e-08,3.447540e-08,1.231084e-05
0.7500,1.772948e-08,3.131760e-08,3.223043e-05
0.7750,1.698380e-08,2.760876e-08,1.117702e-04
0.8000,1.634904e-08,2.314791e-08,2.491976e-04
0.8250,1.582640e-08,2.971505e-08,6.106530e-04
0.8500,1.486329e-08,2.872487e-08,1.561337e-03
0.8750,1.439016e-08,1.947575e-08,4.061785e-03
0.9000,1.388950e-08,1.062749e-08,1.063835e-02
0.9250,1.385879e-08,1.318554e-08,2.793575e-02
0.9500,1.323022e-08,1.805004e-08,7.343062e-02
0.9750,1.295628e-08,1.208757e-08,1.930892e-01
1.0000,1.262584e-08,1.269209e-08,5.078100e-01
1.0250,1.232168e-08,1.169649e-08,1.335575e+00
1.0500,1.204102e-08,1.080532e-08,3.512725e+00
1.0750,1.178141e-08,1.000672e-08,9.238970e+00
1.1000,1.154068e-08,9.289786e-09,2.429989e+01
1.1250,1.131692e-08,8.644671e-09,6.391245e+01
1.1500,1.110845e-08,8.062608e-09,1.680997e+02
1.1750,1.091379e-08,7.535873e-09,4.421284e+02
1.2000,1.073166e-08,7.285435e-09,1.162867e+03
