Va_V,Q_pside_C_cm2,C_numeric_F_cm2,C_analytic_boltzmann_F_cm2
-2.0000,9.013260e-08,1.699458e-08,1.649188e-08
-1.7833,8.645044e-08,1.737019e-08,1.717635e-08
-1.5667,8.260551e-08,1.817567e-08,1.795378e-08
-1.3500,7.857431e-08,1.910368e-08,1.884733e-08
-1.1333,7.432725e-08,2.018751e-08,1.988912e-08
-0.9167,6.982639e-08,2.147346e-08,2.112527e-08
-0.7000,6.502208e-08,2.302712e-08,2.262484e-08
-0.4833,5.984797e-08,2.494305e-08,2.449700e-08
-0.2667,5.421343e-08,2.735969e-08,2.692700e-08
-0.0500,4.799211e-08,3.035347e-08,3.026138e-08
0.0000,4.645551e-08,3.115901e-08,3.122371e-08
0.0250,4.567120e-08,3.159569e-08,3.174063e-08
0.0500,4.487573e-08,3.204943e-08,3.228411e-08
0.0750,4.406873e-08,3.251857e-08,3.285649e-08
0.1000,4.324980e-08,3.300378e-08,3.346044e-08
0.1250,4.241854e-08,3.350578e-08,3.409896e-08
0.1500,4.157451e-08,3.402531e-08,3.477550e-08
0.1750,4.071727e-08,3.456313e-08,3.549397e-08
0.2000,3.984636e-08,3.512007e-08,3.625890e-08
0.2250,3.896127e-08,3.569697e-08,3.707553e-08
0.2500,3.806151e-08,3.629471e-08,3.795000e-08
0.2750,3.714653e-08,3.691423e-08,3.888953e-08
0.3000,3.621580e-08,3.755647e-08,3.990279e-08
0.3250,3.526871e-08,3.822241e-08,4.100042e-08
0.3500,3.430468e-08,3.891305e-08,4.219600e-08
0.3750,3.332306e-08,3.962933e-08,4.350812e-08
0.4000,3.232321e-08,4.037206e-08,4.496501e-08
0.4250,3.130446e-08,4.114171e-08,4.661579e-08
0.4500,3.026612e-08,4.193785e-08,4.855872e-08
0.4750,2.920756e-08,4.275790e-08,5.101382e-08
0.5000,2.812823e-08,4.359405e-08,5.451122e-08
0.5250,2.702786e-08,4.442577e-08,6.038292e-08
0.5500,2.590694e-08,4.520215e-08,7.205110e-08
0.5750,2.476775e-08,4.580448e-08,9.840862e-08
0.6000,2.361672e-08,4.598633e-08,1.626986e-07
0.6250,2.246844e-08,4.535240e-08,3.258511e-07
0.6500,2.134910e-08,4.354887e-08,7.478370e-07
0.6750,2.029099e-08,4.065245e-08,1.849008e-06
0.7000,1.931647e-08,3.722385e-08,4.734475e-06
0.7250,1.842980e-08,3.383937e-08,1.231084e-05
0.7500,1.762450e-08,3.075521e-08,3.223043e-05
0.7750,1.689204e-08,2.799111e-08,1.117702e-04
0.8000,1.622495e-08,2.549975e-08,2.491976e-04
0.8250,1.561705e-08,2.323935e-08,6.106530e-04
0.8500,1.506298e-08,2.118422e-08,1.561337e-03
0.8750,1.455784e-08,1.931892e-08,4.061785e-03
0.9000,1.409704e-08,1.763212e-08,1.063835e-02
0.9250,1.367624e-08,1.611308e-08,2.793575e-02
0.9500,1.329138e-08,1.475019e-08,7.343062e-02
0.9750,1.293873e-08,1.353081e-08,1.930892e-01
1.0000,1.261484e-08,1.244170e-08,5.078100e-01
1.0250,1.231664e-08,1.146954e-08,1.335575e+00
1.0500,1.204136e-08,1.060146e-08,3.512725e+00
1.0750,1.178657e-08,9.825391e-09,9.238970e+00
1.1000,1.155010e-08,9.130302e-09,2.429989e+01
1.1250,1.133005e-08,8.506271e-09,6.391245e+01
1.1500,1.112478e-08,7.944504e-09,1.680997e+02
1.1750,1.093283e-08,7.437281e-09,4.421284e+02
1.2000,1.075292e-08,7.196405e-09,1.162867e+03
