Va_V,I_numeric_A,I_shockley_A,self_consistency_pct
-2.0000,-2.806618e-09,-2.084065e-14,0.0012
-1.7833,-2.598141e-09,-2.084065e-14,0.0014
-1.5667,-2.378915e-09,-2.084065e-14,0.0013
-1.3500,-2.146860e-09,-2.084065e-14,0.0016
-1.1333,-1.899156e-09,-2.084065e-14,0.0024
-0.9167,-1.632676e-09,-2.084065e-14,0.0017
-0.7000,-1.342151e-09,-2.084065e-14,0.0017
-0.4833,-1.019589e-09,-2.084065e-14,0.0011
-0.2667,-6.512103e-10,-2.083996e-14,0.0019
-0.0500,-1.888524e-10,-1.782800e-14,0.0007
0.0000,-1.811571e-26,0.000000e+00,17563.9015
0.0250,1.539147e-10,3.397351e-14,0.0053
0.0500,3.898520e-10,1.233291e-13,0.0003
0.0750,7.670528e-10,3.583484e-13,0.0005
0.1000,1.383948e-09,9.764858e-13,0.0003
0.1250,2.404347e-09,2.602283e-12,0.0001
0.1500,4.102071e-09,6.878385e-12,0.0002
0.1750,6.937092e-09,1.812520e-11,0.0001
0.2000,1.168619e-08,4.770608e-11,0.0001
0.2250,1.966927e-08,1.255084e-10,0.0000
0.2500,3.314672e-08,3.301406e-10,0.0000
0.2750,5.602969e-08,8.683554e-10,0.0000
0.3000,9.517988e-08,2.283944e-09,0.0000
0.3250,1.628585e-07,6.007164e-09,0.0000
0.3500,2.815056e-07,1.579981e-08,0.0000
0.3750,4.934431e-07,4.155600e-08,0.0000
0.4000,8.814098e-07,1.092988e-07,0.0000
0.4250,1.613813e-06,2.874730e-07,0.0000
0.4500,3.048135e-06,7.560988e-07,0.0000
0.4750,5.974426e-06,1.988658e-06,0.0000
0.5000,1.220155e-05,5.230480e-06,0.0000
0.5250,2.598663e-05,1.375698e-05,0.0000
0.5500,5.751720e-05,3.618300e-05,0.0000
0.5750,1.311757e-04,9.516694e-05,0.0000
0.6000,3.036248e-04,2.503039e-04,0.0000
0.6250,6.956039e-04,6.583383e-04,0.0000
0.6500,1.519924e-03,1.731533e-03,0.0000
0.6750,3.043757e-03,4.554201e-03,0.0000
0.7000,5.467608e-03,1.197826e-02,0.0000
0.7250,8.855050e-03,3.150469e-02,0.0000
0.7500,1.317815e-02,8.286225e-02,0.0000
0.7750,1.838160e-02,2.179406e-01,0.0000
0.8000,2.441156e-02,5.732179e-01,0.0000
0.8250,3.122166e-02,1.507653e+00,0.0000
0.8500,3.877191e-02,3.965362e+00,0.0000
0.8750,4.702718e-02,1.042952e+01,0.0000
0.9000,5.595624e-02,2.743126e+01,0.0000
0.9250,6.553152e-02,7.214850e+01,0.0000
0.9500,7.572917e-02,1.897618e+02,0.0000
0.9750,8.652905e-02,4.991032e+02,0.0000
1.0000,9.791464e-02,1.312719e+03,0.0000
1.0250,1.098728e-01,3.452657e+03,0.0000
1.0500,1.223932e-01,9.081026e+03,0.0000
1.0750,1.354684e-01,2.388451e+04,0.0000
1.1000,1.490930e-01,6.282000e+04,0.0000
1.1250,1.632632e-01,1.652264e+05,0.0000
1.1500,1.779767e-01,4.345712e+05,0.0000
1.1750,1.932324e-01,1.142990e+06,0.0000
1.2000,2.090297e-01,3.006242e+06,0.0000
