Va_V,Q_pside_C_cm2,C_numeric_F_cm2,C_analytic_boltzmann_F_cm2,C_analytic_fd_F_cm2
-2.0000,1.476057e-06,4.799063e-08,5.197712e-08,5.001917e-08
-1.8607,1.482742e-06,4.867306e-08,5.319732e-08,5.110375e-08
-1.7214,1.489616e-06,5.009136e-08,5.450769e-08,5.226210e-08
-1.5821,1.496696e-06,5.162369e-08,5.591992e-08,5.350296e-08
-1.4429,1.503997e-06,5.328555e-08,5.744793e-08,5.483661e-08
-1.3036,1.511540e-06,5.509545e-08,5.910846e-08,5.627525e-08
-1.1643,1.519345e-06,5.707563e-08,6.092185e-08,5.783340e-08
-1.0250,1.527439e-06,5.925305e-08,6.291307e-08,5.952858e-08
-0.8857,1.535852e-06,6.166069e-08,6.511324e-08,6.138213e-08
-0.7464,1.544616e-06,6.433929e-08,6.756165e-08,6.342036e-08
-0.6071,1.553775e-06,6.733972e-08,7.030881e-08,6.567612e-08
-0.4679,1.563375e-06,7.072628e-08,7.342087e-08,6.819108e-08
-0.3286,1.573477e-06,7.458131e-08,7.698648e-08,7.101901e-08
-0.1893,1.584151e-06,7.901177e-08,8.112773e-08,7.423072e-08
-0.0500,1.595487e-06,8.406141e-08,8.601830e-08,7.792169e-08
0.0000,1.599738e-06,8.606776e-08,8.800242e-08,7.938746e-08
0.0345,1.602731e-06,8.754553e-08,8.945361e-08,8.044791e-08
0.0690,1.605776e-06,8.909105e-08,9.097905e-08,8.155203e-08
0.1034,1.608875e-06,9.070406e-08,9.258528e-08,8.270289e-08
0.1379,1.612032e-06,9.238904e-08,9.427971e-08,8.390389e-08
0.1724,1.615247e-06,9.415083e-08,9.607071e-08,8.515878e-08
0.2069,1.618525e-06,9.599471e-08,9.796781e-08,8.647172e-08
0.2414,1.621867e-06,9.792646e-08,9.998194e-08,8.784732e-08
0.2759,1.625278e-06,9.995235e-08,1.021257e-07,8.929076e-08
0.3103,1.628761e-06,1.020793e-07,1.044136e-07,9.080788e-08
0.3448,1.632318e-06,1.043147e-07,1.068628e-07,9.240542e-08
0.3793,1.635955e-06,1.066669e-07,1.094943e-07,9.409178e-08
0.4138,1.639674e-06,1.091447e-07,1.123357e-07,9.587934e-08
0.4483,1.643482e-06,1.117578e-07,1.154303e-07,9.779319e-08
0.4828,1.647382e-06,1.145157e-07,1.188715e-07,9.990357e-08
0.5172,1.651380e-06,1.174260e-07,1.229260e-07,1.024487e-07
0.5517,1.655480e-06,1.204862e-07,1.285026e-07,1.063003e-07
0.5862,1.659689e-06,1.236529e-07,1.389223e-07,1.147293e-07
0.6207,1.664008e-06,1.267313e-07,1.666340e-07,1.401071e-07
0.6552,1.668429e-06,1.289971e-07,2.586907e-07,2.293410e-07
0.6897,1.672904e-06,1.282624e-07,5.934386e-07,5.604134e-07
0.7241,1.677275e-06,1.205075e-07,1.847490e-06,1.808811e-06
0.7586,1.681215e-06,1.041886e-07,6.588594e-06,6.538352e-06
0.7931,1.684460e-06,8.474535e-08,2.456242e-05,2.448026e-05
0.8276,1.687060e-06,6.894869e-08,9.275919e-05,9.257063e-05
0.8621,1.689215e-06,5.852812e-08,3.515793e-04,3.510053e-04
0.8966,1.691096e-06,5.218093e-08,1.333930e-03,1.331917e-03
0.9310,1.692814e-06,4.847148e-08,5.062533e-03,5.055089e-03
0.9655,1.694439e-06,4.645087e-08,1.921490e-02,1.918689e-02
1.0000,1.696017e-06,4.577294e-08,7.293210e-02,7.282607e-02
