Va_V,Q_pside_C_cm2,C_numeric_F_cm2,C_analytic_boltzmann_F_cm2
-2.0000,9.595134e-08,2.216709e-08,2.134205e-08
-1.7833,9.114847e-08,2.277243e-08,2.242775e-08
-1.5667,8.608329e-08,2.408892e-08,2.369801e-08
-1.3500,8.070994e-08,2.564799e-08,2.521184e-08
-1.1333,7.496916e-08,2.752338e-08,2.705857e-08
-0.9167,6.878314e-08,2.981758e-08,2.938134e-08
-0.7000,6.204821e-08,3.267426e-08,3.242756e-08
-0.4833,5.462430e-08,3.629574e-08,3.667251e-08
-0.2667,4.632005e-08,4.096572e-08,4.318865e-08
-0.0500,3.687248e-08,4.679130e-08,5.680533e-08
0.0000,3.449614e-08,4.830700e-08,6.833423e-08
0.0158,3.372951e-08,4.878757e-08,7.596894e-08
0.0316,3.295548e-08,4.923632e-08,8.785387e-08
0.0474,3.217468e-08,4.963057e-08,1.068339e-07
0.0632,3.138820e-08,4.993166e-08,1.377003e-07
0.0789,3.059789e-08,5.008232e-08,1.885280e-07
0.0947,2.980666e-08,5.000406e-08,2.729315e-07
0.1105,2.901882e-08,4.960247e-08,4.138737e-07
0.1263,2.824026e-08,4.878760e-08,6.500923e-07
0.1421,2.747816e-08,4.751047e-08,1.046948e-06
0.1579,2.673993e-08,4.579956e-08,1.714735e-06
0.1737,2.603185e-08,4.376770e-08,2.839588e-06
0.1895,2.535779e-08,4.157588e-08,4.735653e-06
0.2053,2.471893e-08,3.937720e-08,7.933163e-06
0.2211,2.411430e-08,3.727814e-08,1.332714e-05
0.2368,2.354173e-08,3.533154e-08,2.242857e-05
0.2526,2.299857e-08,3.355010e-08,3.778888e-05
0.2684,2.248225e-08,3.192394e-08,6.371988e-05
0.2842,2.199045e-08,3.043388e-08,1.075477e-04
0.3000,2.152118e-08,2.972022e-08,2.132858e-04
