Va,x_cm,psi_V,n_cm-3,p_cm-3,phin_V,phip_V
0.3,-1.714837e-03,0.118578,5.960293e+11,1.000006e+17,0.300000,0.300000
0.3,-1.682704e-03,0.118184,2.517039e+12,1.000025e+17,0.256158,0.299607
0.3,-1.648408e-03,0.117764,4.819056e+12,1.000048e+17,0.236149,0.299187
0.3,-1.614111e-03,0.117343,7.179780e+12,1.000072e+17,0.223704,0.298768
0.3,-1.579814e-03,0.116923,9.587240e+12,1.000096e+17,0.214562,0.298348
0.3,-1.545517e-03,0.116503,1.205617e+13,1.000121e+17,0.207231,0.297929
0.3,-1.511221e-03,0.116083,1.460715e+13,1.000146e+17,0.201022,0.297509
0.3,-1.476924e-03,0.115662,1.726295e+13,1.000173e+17,0.195563,0.297090
0.3,-1.442627e-03,0.115242,2.004773e+13,1.000200e+17,0.190632,0.296671
0.3,-1.408330e-03,0.114822,2.298686e+13,1.000230e+17,0.186086,0.296252
0.3,-1.374034e-03,0.114403,2.610702e+13,1.000261e+17,0.181828,0.295833
0.3,-1.339737e-03,0.113983,2.943641e+13,1.000294e+17,0.177788,0.295414
0.3,-1.305440e-03,0.113563,3.300495e+13,1.000330e+17,0.173917,0.294995
0.3,-1.271143e-03,0.113144,3.684454e+13,1.000368e+17,0.170178,0.294577
0.3,-1.236847e-03,0.112724,4.098934e+13,1.000410e+17,0.166544,0.294159
0.3,-1.202550e-03,0.112305,4.547606e+13,1.000455e+17,0.162992,0.293741
0.3,-1.168253e-03,0.111886,5.034433e+13,1.000503e+17,0.159505,0.293324
0.3,-1.133957e-03,0.111467,5.563698e+13,1.000556e+17,0.156072,0.292906
0.3,-1.099660e-03,0.111049,6.140047e+13,1.000614e+17,0.152680,0.292489
0.3,-1.065363e-03,0.110630,6.768529e+13,1.000677e+17,0.149322,0.292073
0.3,-1.031066e-03,0.110212,7.454640e+13,1.000745e+17,0.145992,0.291657
0.3,-9.967696e-04,0.109795,8.204373e+13,1.000820e+17,0.142684,0.291242
0.3,-9.624729e-04,0.109377,9.024266e+13,1.000902e+17,0.139394,0.290827
0.3,-9.281761e-04,0.108960,9.921469e+13,1.000992e+17,0.136118,0.290412
0.3,-8.938794e-04,0.108543,1.090379e+14,1.001090e+17,0.132854,0.289998
0.3,-8.595827e-04,0.108127,1.197980e+14,1.001198e+17,0.129599,0.289585
0.3,-8.252859e-04,0.107711,1.315885e+14,1.001316e+17,0.126352,0.289173
0.3,-7.909892e-04,0.107296,1.445120e+14,1.001445e+17,0.123111,0.288762
0.3,-7.566925e-04,0.106881,1.586811e+14,1.001587e+17,0.119875,0.288351
0.3,-7.223957e-04,0.106467,1.742192e+14,1.001742e+17,0.116644,0.287942
0.3,-6.880990e-04,0.106054,1.912614e+14,1.001913e+17,0.113416,0.287533
0.3,-6.538023e-04,0.105641,2.099563e+14,1.002100e+17,0.110190,0.287126
0.3,-6.195055e-04,0.105229,2.304668e+14,1.002305e+17,0.106967,0.286721
0.3,-5.852088e-04,0.104818,2.529717e+14,1.002530e+17,0.103746,0.286316
0.3,-5.520063e-04,0.104421,2.768472e+14,1.002768e+17,0.100629,0.285927
0.3,-5.206831e-04,0.104048,3.014350e+14,1.003014e+17,0.097689,0.285561
0.3,-4.911330e-04,0.103696,3.266324e+14,1.003266e+17,0.094916,0.285217
0.3,-4.632555e-04,0.103365,3.523347e+14,1.003523e+17,0.092301,0.284894
0.3,-4.369560e-04,0.103054,3.784374e+14,1.003784e+17,0.089834,0.284590
0.3,-4.121451e-04,0.102761,4.048370e+14,1.004048e+17,0.087508,0.284305
0.3,-3.887386e-04,0.102486,4.314327e+14,1.004314e+17,0.085313,0.284038
0.3,-3.666570e-04,0.102227,4.581272e+14,1.004581e+17,0.083243,0.283787
0.3,-3.458254e-04,0.101983,4.848276e+14,1.004848e+17,0.081291,0.283551
0.3,-3.261728e-04,0.101754,5.114461e+14,1.005114e+17,0.079449,0.283330
0.3,-3.076327e-04,0.101538,5.379006e+14,1.005379e+17,0.077713,0.283122
0.3,-2.901420e-04,0.101335,5.641152e+14,1.005641e+17,0.076074,0.282927
0.3,-2.736414e-04,0.101144,5.900202e+14,1.005900e+17,0.074529,0.282743
0.3,-2.580747e-04,0.100964,6.155526e+14,1.006155e+17,0.073072,0.282571
0.3,-2.433892e-04,0.100795,6.406556e+14,1.006406e+17,0.071697,0.282410
0.3,-2.295350e-04,0.100636,6.652792e+14,1.006653e+17,0.070400,0.282258
0.3,-2.164649e-04,0.100486,6.893794e+14,1.006894e+17,0.069177,0.282115
0.3,-2.041347e-04,0.100345,7.129187e+14,1.007129e+17,0.068024,0.281981
0.3,-1.925024e-04,0.100212,7.358650e+14,1.007358e+17,0.066936,0.281856
0.3,-1.815285e-04,0.100088,7.581921e+14,1.007582e+17,0.065909,0.281738
0.3,-1.711758e-04,0.099970,7.798788e+14,1.007799e+17,0.064941,0.281627
0.3,-1.614091e-04,0.099859,8.009089e+14,1.008009e+17,0.064028,0.281522
