Va_V,I_numeric_A,I_shockley_A,self_consistency_pct
-2.0000,-1.273252e-04,-2.613525e-05,0.0000
-1.7833,-1.208685e-04,-2.613525e-05,0.0000
-1.5667,-1.140473e-04,-2.613525e-05,0.0000
-1.3500,-1.067869e-04,-2.613525e-05,0.0000
-1.1333,-9.898132e-05,-2.613525e-05,0.0000
-0.9167,-9.047317e-05,-2.613525e-05,0.0000
-0.7000,-8.101308e-05,-2.613525e-05,0.0000
-0.4833,-7.016392e-05,-2.613525e-05,0.0000
-0.2667,-5.699828e-05,-2.613147e-05,0.0000
-0.0500,-3.192402e-05,-2.115492e-05,0.0000
0.0000,3.512952e-21,0.000000e+00,841770.9353
0.0158,2.320857e-05,1.797963e-05,0.0000
0.0316,6.007753e-05,4.832826e-05,0.0000
0.0474,1.191793e-04,9.955510e-05,0.0000
0.0632,2.142808e-04,1.860232e-04,0.0000
0.0789,3.670898e-04,3.319767e-04,0.0000
0.0947,6.108132e-04,5.783381e-04,0.0000
0.1105,9.938664e-04,9.941828e-04,0.0000
0.1263,1.581895e-03,1.696106e-03,0.0000
0.1421,2.455119e-03,2.880914e-03,0.0000
0.1579,3.698733e-03,4.880806e-03,0.0000
0.1737,5.388351e-03,8.256513e-03,0.0000
0.1895,7.577471e-03,1.395452e-02,0.0000
0.2053,1.029342e-02,2.357246e-02,0.0000
0.2211,1.354189e-02,3.980700e-02,0.0000
0.2368,1.731525e-02,6.721002e-02,0.0000
0.2526,2.159994e-02,1.134648e-01,0.0000
0.2684,2.638123e-02,1.915404e-01,0.0000
0.2842,3.164568e-02,3.233278e-01,0.0000
0.3000,3.738190e-02,5.457777e-01,0.0000
