Va_V,Q_pside_C_cm2,C_numeric_F_cm2,C_analytic_boltzmann_F_cm2
-2.0000,9.047979e-08,1.692706e-08,1.643012e-08
-1.7833,8.681226e-08,1.729804e-08,1.710661e-08
-1.5667,8.298397e-08,1.809311e-08,1.787418e-08
-1.3500,7.897191e-08,1.900802e-08,1.875531e-08
-1.1333,7.474716e-08,2.007506e-08,1.978107e-08
-0.9167,7.027272e-08,2.133903e-08,2.099593e-08
-0.7000,6.550025e-08,2.286330e-08,2.246616e-08
-0.4833,6.036529e-08,2.473911e-08,2.429595e-08
-0.2667,5.477997e-08,2.709981e-08,2.666067e-08
-0.0500,4.862204e-08,3.001860e-08,2.988482e-08
0.0000,4.710268e-08,3.080293e-08,3.081056e-08
0.0250,4.632741e-08,3.122784e-08,3.130691e-08
0.0500,4.554128e-08,3.166921e-08,3.182804e-08
0.0750,4.474394e-08,3.212527e-08,3.237610e-08
0.1000,4.393502e-08,3.259717e-08,3.295347e-08
0.1250,4.311409e-08,3.308526e-08,3.356288e-08
0.1500,4.228076e-08,3.358990e-08,3.420741e-08
0.1750,4.143459e-08,3.411240e-08,3.489055e-08
0.2000,4.057514e-08,3.465333e-08,3.561633e-08
0.2250,3.970193e-08,3.521345e-08,3.638939e-08
0.2500,3.881446e-08,3.579375e-08,3.721513e-08
0.2750,3.791224e-08,3.639507e-08,3.809987e-08
0.3000,3.699471e-08,3.701802e-08,3.905117e-08
0.3250,3.606134e-08,3.766440e-08,4.007829e-08
0.3500,3.511149e-08,3.833470e-08,4.119307e-08
0.3750,3.414460e-08,3.902947e-08,4.241183e-08
0.4000,3.316002e-08,3.975043e-08,4.375987e-08
0.4250,3.215708e-08,4.049824e-08,4.528239e-08
0.4500,3.113511e-08,4.127351e-08,4.707227e-08
0.4750,3.009340e-08,4.207596e-08,4.934188e-08
0.5000,2.903131e-08,4.290316e-08,5.260975e-08
0.5250,2.794825e-08,4.374706e-08,5.818924e-08
0.5500,2.684395e-08,4.458554e-08,6.946971e-08
0.5750,2.571897e-08,4.536193e-08,9.528064e-08
0.6000,2.457586e-08,4.594105e-08,1.587316e-07
0.6250,2.342192e-08,4.604185e-08,3.204502e-07
0.6500,2.227377e-08,4.592606e-08,7.396818e-07
