Va,x_cm,psi_V,n_cm-3,p_cm-3,phin_V,phip_V
0.65,-2.088666e-03,0.222869,4.456762e+02,1.000000e+17,0.650000,0.650000
0.65,-2.029484e-03,0.222843,9.066571e+09,1.000000e+17,0.214930,0.649975
0.65,-1.987710e-03,0.222825,5.241544e+10,1.000001e+17,0.169552,0.649957
0.65,-1.945937e-03,0.222808,1.047689e+11,1.000001e+17,0.151631,0.649939
0.65,-1.904164e-03,0.222790,1.594092e+11,1.000002e+17,0.140762,0.649921
0.65,-1.862390e-03,0.222772,2.159710e+11,1.000002e+17,0.132894,0.649903
0.65,-1.820617e-03,0.222754,2.748023e+11,1.000003e+17,0.126648,0.649885
0.65,-1.778844e-03,0.222736,3.364142e+11,1.000003e+17,0.121400,0.649867
0.65,-1.737071e-03,0.222718,4.013878e+11,1.000004e+17,0.116817,0.649850
0.65,-1.695297e-03,0.222700,4.703532e+11,1.000005e+17,0.112701,0.649832
0.65,-1.653524e-03,0.222682,5.439876e+11,1.000005e+17,0.108923,0.649814
0.65,-1.611751e-03,0.222665,6.230177e+11,1.000006e+17,0.105398,0.649796
0.65,-1.569977e-03,0.222647,7.082258e+11,1.000007e+17,0.102066,0.649778
0.65,-1.528204e-03,0.222629,8.004563e+11,1.000008e+17,0.098884,0.649760
0.65,-1.486431e-03,0.222611,9.006241e+11,1.000009e+17,0.095818,0.649743
0.65,-1.444657e-03,0.222593,1.009723e+12,1.000010e+17,0.092844,0.649725
0.65,-1.402884e-03,0.222575,1.128836e+12,1.000011e+17,0.089943,0.649707
0.65,-1.361111e-03,0.222557,1.259145e+12,1.000013e+17,0.087101,0.649689
0.65,-1.319337e-03,0.222540,1.401944e+12,1.000014e+17,0.084306,0.649671
0.65,-1.277564e-03,0.222522,1.558650e+12,1.000016e+17,0.081549,0.649653
0.65,-1.235791e-03,0.222504,1.730818e+12,1.000017e+17,0.078822,0.649636
0.65,-1.194017e-03,0.222486,1.920157e+12,1.000019e+17,0.076121,0.649618
0.65,-1.152244e-03,0.222468,2.128547e+12,1.000021e+17,0.073439,0.649600
0.65,-1.110471e-03,0.222450,2.358056e+12,1.000024e+17,0.070774,0.649582
0.65,-1.068697e-03,0.222433,2.610961e+12,1.000026e+17,0.068123,0.649565
0.65,-1.026924e-03,0.222415,2.889774e+12,1.000029e+17,0.065482,0.649547
0.65,-9.851508e-04,0.222397,3.197260e+12,1.000032e+17,0.062850,0.649529
0.65,-9.433775e-04,0.222379,3.536473e+12,1.000035e+17,0.060226,0.649512
0.65,-9.016042e-04,0.222362,3.910778e+12,1.000039e+17,0.057607,0.649494
0.65,-8.598309e-04,0.222344,4.323890e+12,1.000043e+17,0.054993,0.649476
0.65,-8.180576e-04,0.222326,4.779911e+12,1.000048e+17,0.052384,0.649459
0.65,-7.762843e-04,0.222309,5.283366e+12,1.000053e+17,0.049777,0.649441
0.65,-7.345109e-04,0.222291,5.839253e+12,1.000058e+17,0.047173,0.649424
0.65,-6.928739e-04,0.222273,6.450995e+12,1.000065e+17,0.044580,0.649406
0.65,-6.535936e-04,0.222257,7.086476e+12,1.000071e+17,0.042135,0.649390
0.65,-6.165367e-04,0.222241,7.743049e+12,1.000077e+17,0.039828,0.649375
0.65,-5.815775e-04,0.222227,8.417954e+12,1.000084e+17,0.037653,0.649360
0.65,-5.485970e-04,0.222213,9.108353e+12,1.000091e+17,0.035602,0.649346
0.65,-5.174833e-04,0.222200,9.811385e+12,1.000098e+17,0.033666,0.649334
0.65,-4.881309e-04,0.222188,1.052420e+13,1.000105e+17,0.031841,0.649322
0.65,-4.604398e-04,0.222176,1.124400e+13,1.000112e+17,0.030119,0.649310
0.65,-4.343162e-04,0.222165,1.196806e+13,1.000120e+17,0.028495,0.649300
0.65,-4.096713e-04,0.222155,1.269377e+13,1.000127e+17,0.026963,0.649290
0.65,-3.864214e-04,0.222145,1.341865e+13,1.000134e+17,0.025518,0.649280
0.65,-3.644875e-04,0.222136,1.414036e+13,1.000141e+17,0.024154,0.649271
