Va_V,I_numeric_A,I_shockley_A,self_consistency_pct
-2.0000,-3.724963e-10,-4.153801e-15,0.0073
-1.7833,-3.447313e-10,-4.153801e-15,0.0105
-1.5667,-3.155407e-10,-4.153801e-15,0.0099
-1.3500,-2.846346e-10,-4.153801e-15,0.0103
-1.1333,-2.516632e-10,-4.153801e-15,0.0111
-0.9167,-2.162107e-10,-4.153801e-15,0.0084
-0.7000,-1.775887e-10,-4.153801e-15,0.0098
-0.4833,-1.347537e-10,-4.153801e-15,0.0076
-0.2667,-8.591964e-11,-4.153664e-15,0.0137
-0.0500,-2.484306e-11,-3.553343e-15,0.0059
0.0000,-5.800798e-24,0.000000e+00,1623651.1775
0.0250,2.021451e-11,6.771345e-15,0.0118
0.0500,5.116927e-11,2.458104e-14,0.0037
0.0750,1.006105e-10,7.142331e-14,0.0026
0.1000,1.813971e-10,1.946258e-13,0.0058
0.1250,3.149149e-10,5.186675e-13,0.0011
0.1500,5.368935e-10,1.370948e-12,0.0012
0.1750,9.073544e-10,3.612578e-12,0.0011
0.2000,1.527735e-09,9.508416e-12,0.0005
0.2250,2.570741e-09,2.501539e-11,0.0003
0.2500,4.333284e-09,6.580115e-11,0.0008
0.2750,7.332597e-09,1.730741e-10,0.0002
0.3000,1.248597e-08,4.552186e-10,0.0001
0.3250,2.145937e-08,1.197303e-09,0.0053
0.3500,3.737289e-08,3.149099e-09,0.0000
0.3750,6.629164e-08,8.282630e-09,0.0000
0.4000,1.205208e-07,2.178462e-08,0.0000
0.4250,2.261775e-07,5.729695e-08,0.0000
0.4500,4.411793e-07,1.506999e-07,0.0000
0.4750,8.991068e-07,3.963643e-07,0.0000
0.5000,1.918192e-06,1.042500e-06,0.0000
0.5250,4.275396e-06,2.741938e-06,0.0000
0.5500,9.898499e-06,7.211724e-06,0.0000
0.5750,2.359966e-05,1.896796e-05,0.0000
0.6000,5.727511e-05,4.988869e-05,0.0000
0.6250,1.391669e-04,1.312150e-04,0.0000
0.6500,3.297151e-04,3.451160e-04,0.0000
