Va_V,I_gummel_A,I_newton_A,rel_diff,gummel_iters,newton_iters,gummel_time_s,newton_time_s,gummel_selfconsist_pct,newton_selfconsist_pct
-2.0000,-2.887714e-09,-2.806547e-09,2.8108e-02,53,6,0.04871,0.02515,11.7013,0.0017
-1.7833,-2.598079e-09,-2.598079e-09,1.2077e-07,49,6,0.03816,0.00557,0.0021,0.0392
-1.5667,-2.378863e-09,-2.378863e-09,1.1575e-07,49,6,0.03580,0.00572,0.0028,0.0348
-1.3500,-2.146817e-09,-2.146817e-09,7.6728e-08,49,7,0.03550,0.00623,0.0030,0.0268
-1.1333,-1.899121e-09,-1.899121e-09,1.0110e-07,49,7,0.03567,0.00629,0.0022,0.0705
-0.9167,-1.632648e-09,-1.632649e-09,1.0874e-06,49,7,0.03545,0.00615,0.0025,0.1166
-0.7000,-1.342133e-09,-1.342132e-09,4.6096e-07,49,8,0.03543,0.00682,0.0031,0.1380
-0.4833,-1.019575e-09,-1.019577e-09,1.5829e-06,49,7,0.03645,0.00636,0.0032,0.6312
-0.2667,-6.511999e-10,-6.512028e-10,4.3510e-06,49,7,0.03671,0.00617,0.0056,0.9255
-0.0500,-1.888500e-10,-1.888517e-10,8.7710e-06,49,7,0.03572,0.00632,0.0167,0.0149
0.0000,-8.779676e-16,-9.833753e-30,1.0000e+00,46,11,0.03102,0.00942,2806.6359,150077410240662976.0000
0.0250,1.539209e-10,1.539137e-10,4.6782e-05,44,10,0.02973,0.00815,0.0119,0.0077
0.0500,3.898519e-10,3.898490e-10,7.3847e-06,44,7,0.02991,0.00661,0.0077,0.0111
0.0750,7.670476e-10,7.670485e-10,1.0905e-06,44,7,0.02955,0.00680,0.0028,0.0040
0.1000,1.383935e-09,1.383939e-09,2.6993e-06,44,6,0.02983,0.00579,0.0017,0.0033
0.1250,2.404330e-09,2.404331e-09,5.3179e-07,44,8,0.02940,0.00688,0.0010,0.0005
0.1500,4.102039e-09,4.102042e-09,8.9355e-07,44,5,0.02953,0.00499,0.0005,0.0012
0.1750,6.937037e-09,6.937037e-09,1.0299e-07,44,6,0.02909,0.00555,0.0004,0.0002
0.2000,1.168608e-08,1.168609e-08,7.7249e-07,44,11,0.02895,0.00912,0.0003,0.0001
0.2250,1.966906e-08,1.966906e-08,1.0669e-07,44,6,0.02906,0.00562,0.0002,0.0002
0.2500,3.314627e-08,3.314628e-08,7.9073e-08,44,7,0.02892,0.00640,0.0001,0.0001
0.2750,5.602873e-08,5.602873e-08,1.8034e-08,44,9,0.02904,0.00755,0.0001,0.0000
0.3000,9.517770e-08,9.517771e-08,7.2283e-08,44,11,0.02893,0.00903,0.0000,0.0000
0.3250,1.628534e-07,1.628535e-07,3.2898e-07,44,9,0.02879,0.00750,0.0000,0.0000
0.3500,2.814936e-07,2.814937e-07,2.4109e-07,44,10,0.02895,0.00810,0.0000,0.0000
0.3750,4.934142e-07,4.934143e-07,2.1476e-07,44,9,0.02872,0.00733,0.0000,0.0000
0.4000,8.813397e-07,8.813399e-07,1.7985e-07,44,13,0.02886,0.01017,0.0000,0.0000
0.4250,1.613642e-06,1.613642e-06,2.0247e-07,44,8,0.02875,0.00686,0.0000,0.0000
0.4500,3.047716e-06,3.047717e-06,1.8617e-07,44,11,0.02885,0.00968,0.0000,0.0000
0.4750,5.973398e-06,5.973399e-06,1.7952e-07,44,10,0.02869,0.01102,0.0000,0.0000
0.5000,1.219903e-05,1.219903e-05,1.6924e-07,44,6,0.02872,0.00948,0.0000,0.0000
0.5250,2.598047e-05,2.598048e-05,1.5997e-07,44,8,0.02860,0.01068,0.0000,0.0000
0.5500,5.750220e-05,5.750221e-05,1.4914e-07,44,10,0.02896,0.01027,0.0000,0.0000
0.5750,1.311392e-04,1.311393e-04,1.3327e-07,44,9,0.02888,0.00887,0.0000,0.0000
0.6000,3.035364e-04,3.035364e-04,1.0852e-07,44,10,0.02861,0.00912,0.0000,0.0000
0.6250,6.953892e-04,6.953893e-04,7.5818e-08,44,15,0.02866,0.01309,0.0000,0.0000
0.6500,1.519406e-03,1.519406e-03,3.9592e-08,44,7,0.02860,0.00687,0.0000,0.0000
0.6750,3.042564e-03,3.042564e-03,6.3531e-09,44,10,0.02867,0.00795,0.0000,0.0000
0.7000,5.465178e-03,5.465178e-03,3.8806e-09,44,8,0.02862,0.00685,0.0000,0.0000
