Va_V,J_anode_A_cm2,res_norm,iters
-1.0000,-3.326355e-05,1.419e-08,24
-0.9000,-3.144184e-05,1.977e-08,22
-0.8000,-2.941676e-05,1.640e-08,25
-0.7000,-2.739887e-05,2.081e-08,19
-0.6000,-2.472910e-05,1.420e-08,13
-0.5000,-2.178874e-05,1.342e-08,8
-0.4000,-1.870673e-05,8.115e-09,7
-0.3000,-1.440935e-05,7.634e-09,6
-0.2000,-9.702033e-06,4.985e-09,6
-0.1000,-5.123669e-06,1.778e-09,27
0.0000,-1.581648e-23,4.932e-13,8
0.1000,1.291705e-05,2.276e-09,10
0.2000,8.643774e-05,3.705e-09,12
0.3000,6.599441e-04,9.660e-09,9
0.4000,7.944588e-03,8.928e-09,9
0.5000,2.141633e-01,9.594e-09,8
0.6000,8.399564e+00,1.966e-08,9
0.7000,1.359806e+02,1.881e-08,9
0.8000,5.256922e+02,1.538e-08,8
0.9000,1.133269e+03,1.720e-08,10
1.0000,1.927574e+03,2.195e-08,9
