VG_V,Qs_C_cm2,C_lf_F_cm2,res_norm,iters
-1.0000,3.064910e-07,3.436926e-07,2.408e-13,8
-0.9000,2.721218e-07,3.427351e-07,5.846e-15,5
-0.8000,2.379440e-07,3.405175e-07,5.004e-15,5
-0.7000,2.040183e-07,3.375382e-07,2.855e-15,5
-0.6000,1.704364e-07,3.333651e-07,3.305e-15,5
-0.5000,1.373452e-07,3.272067e-07,3.278e-15,5
-0.4000,1.049950e-07,3.175186e-07,2.346e-14,5
-0.3000,7.384152e-08,3.011622e-07,3.085e-13,5
-0.2000,4.476258e-08,2.721928e-07,2.493e-12,5
-0.1000,1.940297e-08,2.238129e-07,1.193e-11,5
0.0000,-1.170543e-17,1.613958e-07,1.400e-11,5
0.1000,-1.287620e-08,1.076612e-07,5.617e-12,5
0.2000,-2.153224e-08,7.618119e-08,5.065e-13,5
0.3000,-2.811243e-08,6.050587e-08,9.448e-14,5
0.4000,-3.363341e-08,5.210156e-08,1.256e-14,5
0.5000,-3.853274e-08,4.687754e-08,7.555e-15,5
0.6000,-4.300892e-08,4.311740e-08,2.573e-15,5
0.7000,-4.715622e-08,4.080072e-08,3.154e-15,5
0.8000,-5.116906e-08,5.425043e-08,2.197e-15,5
0.9000,-5.800631e-08,1.291724e-07,4.516e-11,5
1.0000,-7.700354e-08,2.324516e-07,2.378e-15,7
1.1000,-1.044966e-07,2.912059e-07,5.445e-13,6
1.2000,-1.352447e-07,3.149865e-07,3.069e-15,6
1.3000,-1.674939e-07,3.266481e-07,3.193e-15,6
1.4000,-2.005743e-07,3.334003e-07,2.001e-11,5
1.5000,-2.341740e-07,3.377559e-07,2.257e-12,5
1.6000,-2.681255e-07,3.407795e-07,2.457e-13,5
1.7000,-3.023299e-07,3.429932e-07,1.841e-14,5
1.8000,-3.367242e-07,3.446805e-07,6.842e-15,5
1.9000,-3.712660e-07,3.460073e-07,6.518e-15,5
2.0000,-4.059256e-07,3.465963e-07,6.799e-15,5
