Vgs_V,Vds_V,Ids_A_cm,res_norm,iters
1.0000,0.0000,-4.989931e-01,4.000e-10,13
1.0000,0.1000,3.108030e+07,6.978e-06,9
1.0000,0.2000,7.805309e+07,1.874e-05,11
1.0000,0.3000,1.284256e+08,3.514e-05,10
1.0000,0.4000,1.825364e+08,2.152e-05,11
1.0000,0.5000,2.407929e+08,2.697e-05,10
1.0000,0.6000,3.034306e+08,6.229e-05,10
1.0000,0.7000,3.705640e+08,5.960e-05,11
1.0000,0.8000,4.422722e+08,5.100e-05,10
1.0000,0.9000,5.186514e+08,5.933e-05,10
1.0000,1.0000,5.996941e+08,6.015e-05,11
1.0000,1.1000,6.852480e+08,9.398e-05,10
1.0000,1.2000,6.969425e+08,1.082e-04,6
1.0000,1.3000,7.759057e+08,1.206e-04,6
1.0000,1.4000,9.215555e+08,1.049e-04,6
1.0000,1.5000,9.681828e+08,1.043e-04,9
1.0000,1.6000,1.086973e+09,1.058e-04,6
1.0000,1.7000,1.287963e+09,9.612e-05,25
1.0000,1.8000,1.349774e+09,1.144e-04,6
1.0000,1.9000,1.482399e+09,1.068e-04,6
1.0000,2.0000,1.626656e+09,1.019e-04,6
1.5000,0.0000,-1.181297e+00,4.061e-11,13
1.5000,0.1000,8.597598e+06,6.552e-06,9
1.5000,0.2000,2.389006e+07,1.630e-05,10
1.5000,0.3000,6.075638e+07,2.674e-05,10
1.5000,0.4000,1.109610e+08,3.238e-05,10
1.5000,0.5000,1.660888e+08,2.276e-05,10
1.5000,0.6000,2.248874e+08,5.503e-05,10
1.5000,0.7000,2.882396e+08,5.325e-05,10
1.5000,0.8000,3.560417e+08,5.129e-05,11
1.5000,0.9000,4.282528e+08,5.209e-05,10
1.5000,1.0000,5.049227e+08,6.029e-05,10
1.5000,1.1000,5.860672e+08,8.852e-05,10
1.5000,1.2000,6.715962e+08,9.589e-05,10
1.5000,1.3000,6.974684e+08,1.330e-04,6
1.5000,1.4000,7.722120e+08,1.202e-04,6
1.5000,1.5000,9.205451e+08,1.077e-04,6
1.5000,1.6000,9.547589e+08,1.194e-04,6
1.5000,1.7000,1.084111e+09,1.094e-04,6
1.5000,1.8000,1.266839e+09,1.051e-04,6
1.5000,1.9000,1.389057e+09,8.765e-05,9
1.5000,2.0000,1.424677e+09,1.452e-04,6
2.0000,0.0000,-2.156389e+00,4.830e-10,71
2.0000,0.1000,7.144234e+06,7.908e-06,10
2.0000,0.2000,1.565459e+07,1.460e-05,9
2.0000,0.3000,3.017747e+07,2.739e-05,10
2.0000,0.4000,6.246099e+07,2.544e-05,10
2.0000,0.5000,1.162542e+08,2.536e-05,10
2.0000,0.6000,1.735025e+08,6.988e-05,10
2.0000,0.7000,2.322100e+08,5.050e-05,11
2.0000,0.8000,2.939785e+08,5.326e-05,10
2.0000,0.9000,3.337426e+08,6.700e+03,8
2.0000,1.0000,3.603013e+08,2.525e+06,9
2.0000,1.1000,1.348994e+08,5.885e+07,18
2.0000,1.2000,1.581733e+08,5.254e+07,14
2.0000,1.3000,-4.594886e+09,4.855e+08,4
2.0000,1.4000,-3.686730e+09,4.888e+08,2
2.0000,1.5000,1.340604e+10,5.927e+08,2
2.0000,1.6000,1.436335e+10,5.927e+08,2
2.0000,1.7000,1.532065e+10,5.927e+08,2
2.0000,1.8000,1.627796e+10,5.927e+08,2
2.0000,1.9000,1.723527e+10,5.927e+08,2
2.0000,2.0000,1.819257e+10,5.927e+08,2
