Vgs_V,Ids_A_cm,res_norm,iters
-0.5000,2.265909e+01,7.073e-07,7
-0.4000,5.287272e+01,1.006e-06,7
-0.3000,1.255288e+02,7.994e-07,7
-0.2000,3.008905e+02,1.089e-06,11
-0.1000,7.244766e+02,6.951e-07,138
0.0000,1.742329e+03,8.460e-07,52
0.1000,4.161931e+03,7.022e-07,62
0.2000,9.825657e+03,7.211e-07,57
0.3000,2.278860e+04,1.097e-06,57
0.4000,5.142465e+04,1.174e-06,54
0.5000,1.113233e+05,1.109e-06,61
0.6000,2.275500e+05,6.878e-07,64
0.7000,4.294043e+05,9.273e-07,69
0.8000,7.168238e+05,7.998e-07,62
0.9000,1.036898e+06,1.069e-06,71
1.0000,1.359248e+06,8.796e-07,50
1.1000,1.678077e+06,1.386e-06,18
1.2000,1.991607e+06,8.588e-07,11
1.3000,2.298571e+06,7.097e-07,8
1.4000,2.598040e+06,8.008e-07,9
1.5000,2.889456e+06,9.480e-07,7
1.6000,3.172594e+06,1.608e-06,7
1.7000,3.447484e+06,9.054e-07,6
1.8000,3.714335e+06,8.088e-07,7
1.9000,3.973466e+06,7.752e-07,7
2.0000,4.225261e+06,7.867e-07,8
