Va_V,I_numeric_A,I_shockley_A,self_consistency_pct
-2.0000,-2.887682e-09,-2.084065e-14,11.7013
-1.7833,-2.598079e-09,-2.084065e-14,0.0023
-1.5667,-2.378863e-09,-2.084065e-14,0.0028
-1.3500,-2.146817e-09,-2.084065e-14,0.0037
-1.1333,-1.899121e-09,-2.084065e-14,0.0026
-0.9167,-1.632649e-09,-2.084065e-14,0.0032
-0.7000,-1.342132e-09,-2.084065e-14,0.0028
-0.4833,-1.019577e-09,-2.084065e-14,0.0031
-0.2667,-6.512032e-10,-2.083996e-14,0.0056
-0.0500,-1.888513e-10,-1.782800e-14,0.0159
0.0000,-2.235863e-22,0.000000e+00,11314092663.4845
0.0250,1.539133e-10,3.397351e-14,0.0159
0.0500,3.898537e-10,1.233291e-13,0.0064
0.0750,7.670464e-10,3.583484e-13,0.0027
0.1000,1.383925e-09,9.764858e-13,0.0019
0.1250,2.404325e-09,2.602283e-12,0.0011
0.1500,4.102032e-09,6.878385e-12,0.0007
0.1750,6.937039e-09,1.812520e-11,0.0003
0.2000,1.168610e-08,4.770608e-11,0.0003
0.2250,1.966908e-08,1.255084e-10,0.0002
0.2500,3.314626e-08,3.301406e-10,0.0001
0.2750,5.602873e-08,8.683554e-10,0.0001
0.3000,9.517771e-08,2.283944e-09,0.0000
0.3250,1.628535e-07,6.007164e-09,0.0000
0.3500,2.814936e-07,1.579981e-08,0.0000
0.3750,4.934142e-07,4.155600e-08,0.0000
0.4000,8.813397e-07,1.092988e-07,0.0000
0.4250,1.613642e-06,2.874730e-07,0.0000
0.4500,3.047716e-06,7.560988e-07,0.0000
0.4750,5.973398e-06,1.988658e-06,0.0000
0.5000,1.219903e-05,5.230480e-06,0.0000
0.5250,2.598047e-05,1.375698e-05,0.0000
0.5500,5.750220e-05,3.618300e-05,0.0000
0.5750,1.311392e-04,9.516694e-05,0.0000
0.6000,3.035364e-04,2.503039e-04,0.0000
0.6250,6.953892e-04,6.583383e-04,0.0000
0.6500,1.519406e-03,1.731533e-03,0.0000
0.6750,3.042564e-03,4.554201e-03,0.0000
0.7000,5.465178e-03,1.197826e-02,0.0000
0.7250,8.850951e-03,3.150469e-02,0.0000
0.7500,1.317286e-02,8.286225e-02,0.0000
0.7750,1.837774e-02,2.179406e-01,0.0000
0.8000,2.449945e-02,5.732179e-01,0.5305
0.8250,3.148191e-02,1.507653e+00,4.1483
0.8500,3.935946e-02,3.965362e+00,6.8969
0.8750,4.760359e-02,1.042952e+01,7.1789
0.9000,5.709319e-02,2.743126e+01,6.5977
0.9250,6.578278e-02,7.214850e+01,3.3218
0.9500,7.657101e-02,1.897618e+02,0.9423
0.9750,8.722551e-02,4.991032e+02,0.0000
1.0000,9.886427e-02,1.312719e+03,0.0000
1.0250,1.111262e-01,3.452657e+03,0.0000
1.0500,1.240042e-01,9.081026e+03,0.0000
1.0750,1.374937e-01,2.388451e+04,0.0000
1.1000,1.515920e-01,6.282000e+04,0.0000
1.1250,1.662985e-01,1.652264e+05,0.0000
1.1500,1.816137e-01,4.345712e+05,0.0000
1.1750,1.975391e-01,1.142990e+06,0.0000
1.2000,2.140772e-01,3.006242e+06,0.0000
