VG,x_cm,psi_V,n_cm-3,p_cm-3,phin_V,phip_V,is_oxide
-0.4,-9.285714e-08,-0.757159,0.000000e+00,0.000000e+00,nan,nan,1
-0.4,-8.571429e-08,-0.743259,0.000000e+00,0.000000e+00,nan,nan,1
-0.4,-7.857143e-08,-0.729360,0.000000e+00,0.000000e+00,nan,nan,1
-0.4,-7.142857e-08,-0.715461,0.000000e+00,0.000000e+00,nan,nan,1
-0.4,-6.428571e-08,-0.701562,0.000000e+00,0.000000e+00,nan,nan,1
-0.4,-5.714286e-08,-0.687662,0.000000e+00,0.000000e+00,nan,nan,1
-0.4,-5.000000e-08,-0.673763,0.000000e+00,0.000000e+00,nan,nan,1
-0.4,-4.285714e-08,-0.659864,0.000000e+00,0.000000e+00,nan,nan,1
-0.4,-3.571429e-08,-0.645965,0.000000e+00,0.000000e+00,nan,nan,1
-0.4,-2.857143e-08,-0.632066,0.000000e+00,0.000000e+00,nan,nan,1
-0.4,-2.142857e-08,-0.618166,0.000000e+00,0.000000e+00,nan,nan,1
-0.4,-1.428571e-08,-0.604267,0.000000e+00,0.000000e+00,nan,nan,1
-0.4,-7.142857e-09,-0.590368,0.000000e+00,0.000000e+00,nan,nan,1
-0.4,-0.000000e+00,-0.576469,2.068961e+00,4.833343e+19,0.000000,0.000000,0
-0.4,4.088455e-09,-0.573988,2.277297e+00,4.391170e+19,0.000000,0.000000,0
-0.4,8.503985e-09,-0.571437,2.513500e+00,3.978516e+19,0.000000,0.000000,0
-0.4,1.327276e-08,-0.568816,2.781658e+00,3.594979e+19,0.000000,0.000000,0
-0.4,1.842303e-08,-0.566128,3.086493e+00,3.239923e+19,0.000000,0.000000,0
-0.4,2.398533e-08,-0.563374,3.433466e+00,2.912509e+19,0.000000,0.000000,0
-0.4,2.999261e-08,-0.560556,3.828889e+00,2.611723e+19,0.000000,0.000000,0
-0.4,3.648048e-08,-0.557676,4.280068e+00,2.336412e+19,0.000000,0.000000,0
-0.4,4.348737e-08,-0.554737,4.795457e+00,2.085307e+19,0.000000,0.000000,0
-0.4,5.105481e-08,-0.551740,5.384847e+00,1.857063e+19,0.000000,0.000000,0
-0.4,5.922765e-08,-0.548688,6.059579e+00,1.650280e+19,0.000000,0.000000,0
-0.4,6.805432e-08,-0.545584,6.832791e+00,1.463531e+19,0.000000,0.000000,0
-0.4,7.758712e-08,-0.542429,7.719712e+00,1.295385e+19,0.000000,0.000000,0
-0.4,8.788254e-08,-0.539225,8.737991e+00,1.144428e+19,0.000000,0.000000,0
-0.4,9.900160e-08,-0.535977,9.908094e+00,1.009276e+19,0.000000,0.000000,0
-0.4,1.110102e-07,-0.532684,1.125375e+01,8.885931e+18,0.000000,0.000000,0
-0.4,1.239795e-07,-0.529351,1.280246e+01,7.811000e+18,0.000000,0.000000,0
-0.4,1.379863e-07,-0.525979,1.458613e+01,6.855827e+18,0.000000,0.000000,0
-0.4,1.531136e-07,-0.522571,1.664176e+01,6.008980e+18,0.000000,0.000000,0
-0.4,1.694512e-07,-0.519128,1.901222e+01,5.259774e+18,0.000000,0.000000,0
-0.4,1.870957e-07,-0.515653,2.174724e+01,4.598285e+18,0.000000,0.000000,0
-0.4,2.061518e-07,-0.512149,2.490441e+01,4.015352e+18,0.000000,0.000000,0
-0.4,2.267324e-07,-0.508617,2.855050e+01,3.502565e+18,0.000000,0.000000,0
-0.4,2.489595e-07,-0.505059,3.276282e+01,3.052241e+18,0.000000,0.000000,0
-0.4,2.729647e-07,-0.501478,3.763084e+01,2.657395e+18,0.000000,0.000000,0
-0.4,2.988903e-07,-0.497875,4.325812e+01,2.311705e+18,0.000000,0.000000,0
-0.4,3.268900e-07,-0.494253,4.976438e+01,2.009469e+18,0.000000,0.000000,0
-0.4,3.571296e-07,-0.490613,5.728793e+01,1.745569e+18,0.000000,0.000000,0
-0.4,3.897885e-07,-0.486958,6.598841e+01,1.515418e+18,-0.000000,-0.000000,0
-0.4,4.250600e-07,-0.483289,7.604994e+01,1.314925e+18,-0.000000,-0.000000,0
-0.4,4.631533e-07,-0.479609,8.768453e+01,1.140452e+18,0.000000,0.000000,0
-0.4,5.042940e-07,-0.475919,1.011360e+02,9.887673e+17,0.000000,0.000000,0
-0.4,5.487259e-07,-0.472222,1.166845e+02,8.570122e+17,-0.000000,-0.000000,0
-0.4,5.967125e-07,-0.468520,1.346508e+02,7.426618e+17,0.000000,0.000000,0
