VG_V,Qs_C_cm2,C_lf_F_cm2,C_lf_analytic_F_cm2,C_hf_F_cm2,C_hf_analytic_F_cm2
-1.0000,2.470150e-06,3.242931e-06,3.453133e-06,3.246255e-06,3.453133e-06
-0.9750,2.389077e-06,3.239169e-06,3.453133e-06,3.238946e-06,3.453133e-06
-0.9500,2.308192e-06,3.231397e-06,3.453133e-06,3.231162e-06,3.453133e-06
-0.9250,2.227507e-06,3.223105e-06,3.453133e-06,3.222857e-06,3.453133e-06
-0.9000,2.147037e-06,3.214242e-06,3.453133e-06,3.213980e-06,3.453133e-06
-0.8750,2.066795e-06,3.204751e-06,3.453133e-06,3.204473e-06,3.453133e-06
-0.8500,1.986799e-06,3.194565e-06,3.453133e-06,3.194270e-06,3.453133e-06
-0.8250,1.907067e-06,3.183610e-06,3.453133e-06,3.183297e-06,3.453133e-06
-0.8000,1.827619e-06,3.171801e-06,3.453133e-06,3.171468e-06,3.453133e-06
-0.7750,1.748477e-06,3.159040e-06,3.453133e-06,3.158686e-06,3.453133e-06
-0.7500,1.669667e-06,3.145215e-06,3.453133e-06,3.144837e-06,3.453133e-06
-0.7250,1.591216e-06,3.130194e-06,3.453133e-06,3.129790e-06,3.453133e-06
-0.7000,1.513157e-06,3.113826e-06,3.453133e-06,3.113395e-06,3.453133e-06
-0.6750,1.435525e-06,3.095934e-06,3.453133e-06,3.095473e-06,3.453133e-06
-0.6500,1.358360e-06,3.076312e-06,3.453133e-06,3.075817e-06,3.453133e-06
-0.6250,1.281709e-06,3.054713e-06,3.453133e-06,3.054181e-06,3.453133e-06
-0.6000,1.205625e-06,3.030848e-06,3.453133e-06,3.030277e-06,3.453133e-06
-0.5750,1.130167e-06,3.004371e-06,3.453133e-06,3.003756e-06,3.453133e-06
-0.5500,1.055406e-06,2.974868e-06,3.453133e-06,2.974205e-06,3.453133e-06
-0.5250,9.814235e-07,2.941839e-06,3.453133e-06,2.941124e-06,3.453133e-06
-0.5000,9.083142e-07,2.904681e-06,3.453133e-06,2.903908e-06,3.453133e-06
-0.4750,8.361895e-07,2.862657e-06,3.453133e-06,2.861821e-06,3.453133e-06
-0.4500,7.651813e-07,2.814867e-06,3.453133e-06,2.813964e-06,3.453133e-06
-0.4250,6.954461e-07,2.760212e-06,3.453133e-06,2.759232e-06,3.453133e-06
-0.4000,6.271708e-07,2.697337e-06,3.453133e-06,2.696272e-06,3.453133e-06
-0.3750,5.605793e-07,2.624590e-06,3.453133e-06,2.623426e-06,3.453133e-06
-0.3500,4.959412e-07,2.539963e-06,3.453133e-06,2.538678e-06,3.453133e-06
-0.3250,4.335811e-07,2.441059e-06,3.453133e-06,2.439614e-06,3.453133e-06
-0.3000,3.738883e-07,2.325111e-06,3.453133e-06,2.323434e-06,3.453133e-06
-0.2750,3.173256e-07,2.189120e-06,3.453133e-06,2.187077e-06,3.453133e-06
-0.2500,2.644323e-07,2.030222e-06,3.453133e-06,2.027572e-06,3.453133e-06
-0.2250,2.158145e-07,1.846458e-06,3.453133e-06,1.842801e-06,3.453133e-06
-0.2000,1.721094e-07,1.638070e-06,3.453133e-06,1.632817e-06,3.453133e-06
-0.1750,1.339110e-07,1.409204e-06,3.453133e-06,1.401676e-06,3.453133e-06
-0.1500,1.016492e-07,1.169338e-06,3.453133e-06,1.159087e-06,3.453133e-06
-0.1250,7.544411e-08,9.330217e-07,3.453133e-06,9.203120e-07,3.453133e-06
-0.1000,5.499812e-08,7.168061e-07,3.453133e-06,7.028592e-07,3.453133e-06
-0.0750,3.960381e-08,5.341537e-07,3.453133e-06,5.207403e-07,3.453133e-06
-0.0500,2.829043e-08,3.913238e-07,3.453133e-06,3.799275e-07,3.453133e-06
-0.0250,2.003762e-08,2.868113e-07,3.453133e-06,2.780811e-07,3.453133e-06
0.0000,1.394987e-08,2.140220e-07,1.151044e-06,2.078302e-07,1.151044e-06
0.0250,9.336519e-09,1.647845e-07,1.645974e-07,1.606053e-07,1.645974e-07
0.0500,5.710646e-09,1.317689e-07,1.198085e-07,1.290155e-07,1.198085e-07
0.0750,2.748075e-09,1.094244e-07,9.910657e-08,1.076147e-07,9.910657e-08
0.1000,2.394286e-10,9.394870e-08,8.650349e-08,9.274177e-08,8.650349e-08
0.1250,-1.949360e-09,8.288551e-08,7.778766e-08,8.205893e-08,7.778766e-08
0.1500,-3.904847e-09,7.469385e-08,7.129311e-08,7.410864e-08,7.129311e-08
0.1750,-5.684053e-09,6.841507e-08,6.620950e-08,6.798582e-08,6.620950e-08
0.2000,-7.325600e-09,6.344857e-08,6.208857e-08,6.312275e-08,6.208857e-08
0.2250,-8.856481e-09,5.941129e-08,5.865940e-08,5.915618e-08,5.865940e-08
0.2500,-1.029616e-08,5.605288e-08,5.574722e-08,5.584765e-08,5.574722e-08
0.2750,-1.165912e-08,5.320504e-08,5.323353e-08,5.303608e-08,5.323353e-08
0.3000,-1.295642e-08,5.075131e-08,5.103473e-08,5.060948e-08,5.103473e-08
0.3250,-1.419669e-08,4.860879e-08,4.908994e-08,4.848776e-08,4.908994e-08
0.3500,-1.538686e-08,4.671690e-08,4.735357e-08,4.661216e-08,4.735357e-08
0.3750,-1.653254e-08,4.503033e-08,4.579078e-08,4.493858e-08,4.579078e-08
0.4000,-1.763837e-08,4.351447e-08,4.437435e-08,4.343320e-08,4.437435e-08
0.4250,-1.870826e-08,4.214246e-08,4.308272e-08,4.206963e-08,4.308272e-08
0.4500,-1.974550e-08,4.089322e-08,4.189852e-08,4.082691e-08,4.189852e-08
0.4750,-2.075292e-08,3.975034e-08,4.080760e-08,3.968818e-08,4.080760e-08
0.5000,-2.173301e-08,3.870174e-08,3.979829e-08,3.863972e-08,3.979829e-08
0.5250,-2.268801e-08,3.774074e-08,3.886086e-08,3.767020e-08,3.886086e-08
0.5500,-2.362005e-08,3.687007e-08,3.798716e-08,3.677019e-08,3.798716e-08
0.5750,-2.453151e-08,3.611311e-08,3.717025e-08,3.593179e-08,3.717025e-08
0.6000,-2.542571e-08,3.554329e-08,3.640422e-08,3.514834e-08,3.640422e-08
0.6250,-2.630867e-08,3.535961e-08,3.568399e-08,3.441420e-08,3.568399e-08
0.6500,-2.719369e-08,3.607859e-08,3.500516e-08,3.372473e-08,3.500516e-08
0.6750,-2.811260e-08,3.901314e-08,3.436389e-08,3.307629e-08,3.436389e-08
0.7000,-2.914434e-08,4.741660e-08,3.375683e-08,3.246666e-08,3.375683e-08
0.7250,-3.048343e-08,6.892325e-08,3.318105e-08,3.189608e-08,3.318105e-08
0.7500,-3.259050e-08,1.193399e-07,3.453133e-06,3.136928e-08,3.375174e-08
0.7750,-3.645043e-08,2.236136e-07,3.453133e-06,3.089839e-08,3.375174e-08
0.8000,-4.377118e-08,4.035725e-07,3.453133e-06,3.050247e-08,3.375174e-08
0.8250,-5.662905e-08,6.552680e-07,3.453133e-06,3.019686e-08,3.375174e-08
