VG,x_cm,psi_V,n_cm-3,p_cm-3,phin_V,phip_V,is_oxide
-0.4,-9.285714e-08,-0.757159,0.000000e+00,0.000000e+00,nan,nan,1
-0.4,-8.571429e-08,-0.743188,0.000000e+00,0.000000e+00,nan,nan,1
-0.4,-7.857143e-08,-0.729216,0.000000e+00,0.000000e+00,nan,nan,1
-0.4,-7.142857e-08,-0.715245,0.000000e+00,0.000000e+00,nan,nan,1
-0.4,-6.428571e-08,-0.701274,0.000000e+00,0.000000e+00,nan,nan,1
-0.4,-5.714286e-08,-0.687303,0.000000e+00,0.000000e+00,nan,nan,1
-0.4,-5.000000e-08,-0.673332,0.000000e+00,0.000000e+00,nan,nan,1
-0.4,-4.285714e-08,-0.659361,0.000000e+00,0.000000e+00,nan,nan,1
-0.4,-3.571429e-08,-0.645390,0.000000e+00,0.000000e+00,nan,nan,1
-0.4,-2.857143e-08,-0.631419,0.000000e+00,0.000000e+00,nan,nan,1
-0.4,-2.142857e-08,-0.617448,0.000000e+00,0.000000e+00,nan,nan,1
-0.4,-1.428571e-08,-0.603477,0.000000e+00,0.000000e+00,nan,nan,1
-0.4,-7.142857e-09,-0.589506,0.000000e+00,0.000000e+00,nan,nan,1
-0.4,-0.000000e+00,-0.575535,2.145059e+00,4.661877e+19,0.000000,0.000000,0
-0.4,4.088455e-09,-0.573098,2.357093e+00,4.242513e+19,0.000000,0.000000,0
-0.4,8.503985e-09,-0.570589,2.597289e+00,3.850168e+19,0.000000,0.000000,0
-0.4,1.327276e-08,-0.568010,2.869758e+00,3.484614e+19,0.000000,0.000000,0
-0.4,1.842303e-08,-0.565363,3.179248e+00,3.145398e+19,0.000000,0.000000,0
-0.4,2.398533e-08,-0.562648,3.531245e+00,2.831863e+19,0.000000,0.000000,0
-0.4,2.999261e-08,-0.559868,3.932091e+00,2.543176e+19,0.000000,0.000000,0
-0.4,3.648048e-08,-0.557026,4.389123e+00,2.278359e+19,0.000000,0.000000,0
-0.4,4.348737e-08,-0.554122,4.910830e+00,2.036316e+19,0.000000,0.000000,0
-0.4,5.105481e-08,-0.551160,5.507037e+00,1.815858e+19,0.000000,0.000000,0
-0.4,5.922765e-08,-0.548141,6.189125e+00,1.615737e+19,0.000000,0.000000,0
-0.4,6.805432e-08,-0.545069,6.970275e+00,1.434664e+19,0.000000,0.000000,0
-0.4,7.758712e-08,-0.541944,7.865758e+00,1.271333e+19,0.000000,0.000000,0
-0.4,8.788254e-08,-0.538770,8.893274e+00,1.124445e+19,0.000000,0.000000,0
-0.4,9.900160e-08,-0.535549,1.007334e+01,9.927197e+18,0.000000,0.000000,0
-0.4,1.110102e-07,-0.532283,1.142973e+01,8.749114e+18,0.000000,0.000000,0
-0.4,1.239795e-07,-0.528975,1.299002e+01,7.698217e+18,0.000000,0.000000,0
-0.4,1.379863e-07,-0.525627,1.478617e+01,6.763074e+18,0.000000,0.000000,0
-0.4,1.531136e-07,-0.522241,1.685525e+01,5.932870e+18,0.000000,0.000000,0
-0.4,1.694512e-07,-0.518820,1.924020e+01,5.197452e+18,0.000000,0.000000,0
-0.4,1.870957e-07,-0.515365,2.199081e+01,4.547355e+18,0.000000,0.000000,0
-0.4,2.061518e-07,-0.511880,2.516477e+01,3.973810e+18,0.000000,0.000000,0
