VG_V,Qs_C_cm2,C_lf_F_cm2,C_lf_analytic_F_cm2,C_hf_F_cm2,C_hf_analytic_F_cm2
-2.0000,2.489041e-06,3.065746e-06,3.453133e-06,3.070968e-06,3.453133e-06
-1.9750,2.412398e-06,3.059881e-06,3.453133e-06,3.059511e-06,3.453133e-06
-1.9500,2.336047e-06,3.047838e-06,3.453133e-06,3.047451e-06,3.453133e-06
-1.9250,2.260006e-06,3.035151e-06,3.453133e-06,3.034745e-06,3.453133e-06
-1.9000,2.184290e-06,3.021770e-06,3.453133e-06,3.021344e-06,3.453133e-06
-1.8750,2.108917e-06,3.007643e-06,3.453133e-06,3.007195e-06,3.453133e-06
-1.8500,2.033908e-06,2.992712e-06,3.453133e-06,2.992241e-06,3.453133e-06
-1.8250,1.959282e-06,2.976914e-06,3.453133e-06,2.976419e-06,3.453133e-06
-1.8000,1.885062e-06,2.960181e-06,3.453133e-06,2.959660e-06,3.453133e-06
-1.7750,1.811273e-06,2.942435e-06,3.453133e-06,2.941886e-06,3.453133e-06
-1.7500,1.737940e-06,2.923594e-06,3.453133e-06,2.923014e-06,3.453133e-06
-1.7250,1.665093e-06,2.903566e-06,3.453133e-06,2.902953e-06,3.453133e-06
-1.7000,1.592762e-06,2.882249e-06,3.453133e-06,2.881601e-06,3.453133e-06
-1.6750,1.520980e-06,2.859532e-06,3.453133e-06,2.858846e-06,3.453133e-06
-1.6500,1.449785e-06,2.835292e-06,3.453133e-06,2.834565e-06,3.453133e-06
-1.6250,1.379216e-06,2.809393e-06,3.453133e-06,2.808622e-06,3.453133e-06
-1.6000,1.309316e-06,2.781686e-06,3.453133e-06,2.780867e-06,3.453133e-06
-1.5750,1.240132e-06,2.752005e-06,3.453133e-06,2.751134e-06,3.453133e-06
-1.5500,1.171715e-06,2.720169e-06,3.453133e-06,2.719241e-06,3.453133e-06
-1.5250,1.104123e-06,2.685976e-06,3.453133e-06,2.684986e-06,3.453133e-06
-1.5000,1.037416e-06,2.649204e-06,3.453133e-06,2.648146e-06,3.453133e-06
-1.4750,9.716629e-07,2.609610e-06,3.453133e-06,2.608479e-06,3.453133e-06
-1.4500,9.069360e-07,2.566925e-06,3.453133e-06,2.565714e-06,3.453133e-06
-1.4250,8.433166e-07,2.520855e-06,3.453133e-06,2.519556e-06,3.453133e-06
-1.4000,7.808932e-07,2.471078e-06,3.453133e-06,2.469682e-06,3.453133e-06
-1.3750,7.197627e-07,2.417242e-06,3.453133e-06,2.415739e-06,3.453133e-06
-1.3500,6.600311e-07,2.358961e-06,3.453133e-06,2.357342e-06,3.453133e-06
