VG,x_cm,psi_V,n_cm-3,p_cm-3,phin_V,phip_V,is_oxide
-0.4,-2.001000e-04,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-1.992325e-04,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-1.983183e-04,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-1.974041e-04,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-1.964899e-04,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-1.955757e-04,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-1.946615e-04,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-1.937473e-04,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-1.928331e-04,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-1.919189e-04,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-1.910047e-04,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-1.900904e-04,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-1.891762e-04,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-1.882620e-04,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-1.873478e-04,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-1.864336e-04,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-1.855194e-04,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-1.846052e-04,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-1.836910e-04,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-1.827768e-04,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-1.818626e-04,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-1.809484e-04,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-1.800342e-04,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-1.791200e-04,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-1.782058e-04,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-1.772916e-04,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-1.763774e-04,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-1.754631e-04,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-1.745489e-04,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-1.736347e-04,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-1.727205e-04,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-1.718063e-04,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-1.708921e-04,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-1.699779e-04,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-1.690637e-04,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-1.681495e-04,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-1.672353e-04,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-1.663211e-04,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-1.654069e-04,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-1.644927e-04,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-1.635785e-04,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-1.626643e-04,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-1.617501e-04,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-1.608359e-04,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-1.599216e-04,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-1.590074e-04,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-1.580932e-04,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-1.571790e-04,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-1.562648e-04,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-1.553506e-04,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-1.544364e-04,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-1.535222e-04,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-1.526080e-04,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-1.516938e-04,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-1.507796e-04,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-1.498654e-04,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-1.489512e-04,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-1.480370e-04,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-1.471228e-04,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-1.462086e-04,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-1.452943e-04,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-1.443801e-04,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
-0.4,-1.434659e-04,0.117819,5.000000e+18,2.000000e+01,-0.400000,-0.400000,0
