Va_V,I_tat_A,I_no_tat_A,enhancement,J_std_over_mean,I_srh_closed_A,I_tat_closed_A
-0.05,-6.579263211374643e-11,-5.514534824580042e-11,1.1930767364182318,8.356666368413693e-06,-9.392396646524384e-10,-1.0805800491349877e-09
-0.1769230769230769,-1.7095449710279603e-10,-1.4136644748066576e-10,1.20930036900147,1.53405429902369e-05,-9.937843461954043e-10,-1.1536064411542974e-09
-0.3038461538461538,-2.6117950487377554e-10,-2.134473574241862e-10,1.2236249163522355,1.608403050841903e-05,-1.0454872097876806e-09,-1.2237816322936468e-09
-0.43076923076923074,-3.4526943941081184e-10,-2.792292111223955e-10,1.2365090243350962,9.891224614166983e-06,-1.0947509693607186e-09,-1.2914869942089277e-09
-0.5576923076923077,-4.2462929230058176e-10,-3.401780122427333e-10,1.248256139487312,1.9375781031035585e-05,-1.1418913538523862e-09,-1.357022350493628e-09
-0.6846153846153846,-5.001261882620387e-10,-3.972161260555644e-10,1.259078258550054,1.1876379047440306e-05,-1.1871613382727042e-09,-1.4206287016267205e-09
-0.8115384615384615,-5.724030076946041e-10,-4.510220704269008e-10,1.2691241631541754,1.5197462649216708e-05,-1.2307673306421649e-09,-1.4825033851271173e-09
-0.9384615384615385,-6.419351657864415e-10,-5.020970056798795e-10,1.2785082534344332,1.1906313483533204e-05,-1.27288035622467e-09,-1.5428105399338908e-09
-1.0653846153846154,-7.090663441088183e-10,-5.508071737821694e-10,1.2873222751256985,1.809674251838088e-05,-1.313644008226447e-09,-1.6016885404148462e-09
-1.1923076923076923,-7.740566126025888e-10,-5.974312945825773e-10,1.295641222047832,1.7184322184308885e-05,-1.35318023907972e-09,-1.6592554092674639e-09
-1.3192307692307692,-8.371340335636352e-10,-6.422078724122151e-10,1.3035250259690097,1.558026351271415e-05,-1.3915936686125197e-09,-1.7156128437598925e-09
-1.4461538461538461,-8.986350067380638e-10,-6.854583150771917e-10,1.3109987682283284,9.932627018842811e-06,-1.4289748484872132e-09,-1.7708492669280915e-09
-1.573076923076923,-9.587811179864566e-10,-7.274063145658455e-10,1.31808192861057,1.0930526224237998e-05,-1.465402776268578e-09,-1.8250421782206852e-09
-1.7,-1.01706737058264e-09,-7.676502571622086e-10,1.3249098285232883,7.061813067601724e-06,-1.500946859746293e-09,-1.878259991119383e-09
-1.8269230769230769,-1.0741356447276331e-09,-8.067366139463474e-10,1.3314576606028063,1.020694085996722e-05,-1.5356684716659586e-09,-1.930563488626642e-09
-1.9538461538461538,-1.1307950890810777e-09,-8.453949918840096e-10,1.3375937874448938,6.492672056814587e-06,-1.5696221946556004e-09,-1.9820069897465625e-09
-2.0807692307692305,-1.1848399216233704e-09,-8.817575935732528e-10,1.3437252259114667,1.823131365195271e-05,-1.602856828616351e-09,-2.032639294365239e-09
-2.2076923076923074,-1.239788858205304e-09,-9.188067706267691e-10,1.3493466720533365,1.8660611502783215e-05,-1.6354162137292964e-09,-2.082504456084559e-09
-2.3346153846153843,-1.2915974909938943e-09,-9.531658856939612e-10,1.3550605517669516,1.668377966659897e-05,-1.6673399087214554e-09,-2.1316424199572678e-09
-2.4615384615384612,-1.345009156011605e-09,-9.888025308828433e-10,1.360240405949129,1.6516182813015417e-05,-1.69866375433806e-09,-2.1800895530289203e-09
-2.588461538461538,-1.3945052411000384e-09,-1.0211215770097072e-09,1.3656603410377075,1.4018021423050483e-05,-1.7294203449099577e-09,-2.227879089013223e-09
-2.715384615384615,-1.4470714161473723e-09,-1.05598065991107e-09,1.3703578778320034,1.3377435232085199e-05,-1.7596394256992197e-09,-2.2750415035770413e-09
-2.842307692307692,-1.4942917164346326e-09,-1.0862949034479236e-09,1.3755856827567894,1.190757997845319e-05,-1.7893482298204793e-09,-2.3216048330923396e-09
-2.969230769230769,-1.5453449402506505e-09,-1.119868180824379e-09,1.3799346804487838,1.0784008188522646e-05,-1.8185717656029648e-09,-2.367594946981596e-09
-3.096153846153846,-1.5928233806258782e-09,-1.1503209458077201e-09,1.3846773688950316,1.0460883235441143e-05,-1.8473330630221737e-09,-2.413035781701424e-09
-3.2230769230769227,-1.6388957796734361e-09,-1.1796799240825084e-09,1.3892715695302529,9.425262051293983e-06,-1.875653386108822e-09,-2.457949542806761e-09
-3.3499999999999996,-1.6894697879822224e-09,-1.2127616415309446e-09,1.3930765371582,1.2413481492014204e-05,-1.9035524169058475e-09,-2.502356880293356e-09
-3.4769230769230766,-1.732424747589369e-09,-1.2393831752194526e-09,1.3978120586336147,9.14289187898601e-06,-1.931048415497316e-09,-2.5462770414417147e-09
-3.6038461538461535,-1.7784240591121066e-09,-1.2686913555219326e-09,1.4017783374747381,7.225350158641615e-06,-1.9581583598068102e-09,-2.5897280046162325e-09
-3.7307692307692304,-1.8276748301916515e-09,-1.30062407890526e-09,1.40522912026203,9.610766762359046e-06,-1.984898068205997e-09,-2.6327265968615465e-09
-3.8576923076923073,-1.868057058549792e-09,-1.3250699286766082e-09,1.4097799807557954,1.2786792910080685e-05,-2.0112823074482862e-09,-2.6752885976483707e-09
-3.9846153846153842,-1.9116688699914933e-09,-1.3523874994385767e-09,1.413551124056599,9.496083300026355e-06,-2.037324888018871e-09,-2.717428830726324e-09
-4.111538461538461,-1.9610853786015184e-09,-1.3844983697411846e-09,1.4164591461152243,1.7773401345169542e-05,-2.0630387486491156e-09,-2.759161245721297e-09
-4.2384615384615385,-2.0013350851081708e-09,-1.408806175341636e-09,1.4205893756980774,1.272817236934682e-05,-2.088436031463332e-09,-2.8004989908538723e-09
-4.365384615384615,-2.0396089243368495e-09,-1.4316197740078494e-09,1.4246861920794247,1.682126561143488e-05,-2.1135281489965808e-09,-2.8414544779413568e-09
-4.4923076923076914,-2.0874824565447517e-09,-1.4625509326332983e-09,1.4272887254505897,1.798916257948543e-05,-2.1383258441330957e-09,-2.882039440669618e-09
-4.619230769230769,-2.1327402616997053e-09,-1.4911031812386379e-09,1.4303103155665384,1.6949252556426733e-05,-2.1628392438584335e-09,-2.922264986974891e-09
-4.746153846153846,-2.1678049911589454e-09,-1.5111175779771017e-09,1.434570693076667,1.2065739162447947e-05,-2.1870779075882783e-09,-2.9621416462542846e-09
-4.873076923076923,-2.2062408588240504e-09,-1.5341627947074177e-09,1.438074803036014,1.4135740929788636e-05,-2.2110508707280625e-09,-3.001679412022283e-09
-5.0,-2.254650272921745e-09,-1.5655767110071343e-09,1.4401404013421548,1.3089424121330757e-05,-2.2347666840263048e-09,-3.0408877805456198e-09
0.0,-1.1002398119088929e-15,1.4155356292619859e-27,-777260415891.1366,77.35014564725472,,
0.08571428571428572,3.347998891741217e-10,2.854256162588155e-10,1.172984729130041,3.5075846644891835e-06,,
0.17142857142857143,2.105175087238232e-09,1.8168403079707264e-09,1.1587012232184313,1.4995815117982383e-06,,
0.2571428571428571,1.2090983944844385e-08,1.0582416820214609e-08,1.142554120694632,3.5901604725641445e-07,,
0.34285714285714286,7.077337826156173e-08,6.305999573700832e-08,1.1223181580398778,1.393030254942544e-07,,
0.4285714285714286,4.615066628458763e-07,4.226081545358168e-07,1.0920439132386943,1.59376329288961e-08,,
0.5142857142857142,4.1477822652170326e-06,3.9553902268935285e-06,1.048640469659704,3.921832679962725e-09,,
0.6,6.346734424100826e-05,6.255101275129949e-05,1.0146493469794338,2.2820184906678467e-10,,
