Va_V,I_tat_A,I_no_tat_A,enhancement,J_std_over_mean,I_srh_closed_A,I_tat_closed_A
-0.05,-4.351279724587994e-11,-3.638324054797442e-11,1.1959571657314194,4.209531289098512,-6.22713465017127e-10,-6.997897138339729e-10
-0.1769230769230769,-1.1316241042389227e-10,-9.33631236067639e-11,1.2120675278659374,1.5807209242944393,-6.704528041083072e-10,-7.613426017531063e-10
-0.3038461538461538,-1.7302824586323373e-10,-1.4109950891604983e-10,1.2262852450193897,1.1293663969642362,-7.150117940004543e-10,-8.197702077334856e-10
-0.43076923076923074,-2.2888245710708944e-10,-1.8472200346262863e-10,1.2390643930699625,1.579950546111442,-7.569522895023199e-10,-8.756025272983553e-10
-0.5576923076923077,-2.816287923620105e-10,-2.2517596050366315e-10,1.250705411590457,3.117918893489519,-7.966879386597111e-10,-9.292302439706653e-10
-0.6846153846153846,-3.318488562009268e-10,-2.630571103943189e-10,1.2615087868314605,1.4670992011521367,-8.345337468484516e-10,-9.809514504182683e-10
-0.8115384615384615,-3.7993810031739054e-10,-2.9883036170335357e-10,1.2714173290549102,1.0989263689602602,-8.707361699458518e-10,-1.0309999487377588e-09
-0.9384615384615385,-4.2621772929393173e-10,-3.327820607858531e-10,1.2807713501365836,3.4363096277703566,-9.054923415882803e-10,-1.0795632981568478e-09
-1.0653846153846154,-4.708984809444776e-10,-3.65167924073304e-10,1.2895395512612142,1.463497244837881,-9.38962876634685e-10,-1.1267948153466104e-09
-1.1923076923076923,-5.142008208804117e-10,-3.9620327845337664e-10,1.2978207118518845,2.1157635928364296,-9.71280694094729e-10,-1.1728218347223987e-09
-1.3192307692307692,-5.562454249217746e-10,-4.260301420540258e-10,1.30564805166118,1.076717674805287,-1.0025572750442712e-09,-1.2177515626895463e-09
-1.4461538461538461,-5.971543937645475e-10,-4.5478055149742456e-10,1.313060533917597,1.2692405317334274,-1.0328872120261968e-09,-1.26167533146204e-09
-1.573076923076923,-6.370960882938135e-10,-4.825867548135866e-10,1.3201690306231275,2.2564185607758778,-1.0623515876536852e-09,-1.3046717573984996e-09
-1.7,-6.762000835364992e-10,-5.096143058293802e-10,1.3268859916245999,3.6926927571679102,-1.0910205308853547e-09,-1.3468091306124343e-09
-1.8269230769230769,-7.143211706179463e-10,-5.357238669518393e-10,1.3333756710939344,1.3120378426680654,-1.1189551831223703e-09,-1.3881472532675561e-09
-1.9538461538461538,-7.514312775104288e-10,-5.609218754803899e-10,1.339636249463227,1.1021153040450158,-1.14620923258342e-09,-1.4287388747921895e-09
-2.0807692307692305,-7.883937370927276e-10,-5.859356566680902e-10,1.3455295442777977,8.383931275852172,-1.172830127461999e-09,-1.468630827292755e-09
-2.2076923076923074,-8.241341564362585e-10,-6.098834200208625e-10,1.3512978536259717,2.3274303565148196,-1.1988600464214262e-09,-1.5078649345288158e-09
