Va_V,I_hurkx_A,I_schenk_A,I_no_tat_A,sc_hurkx,sc_schenk
-0.05,-6.579263211374645e-11,-3.7014901380349294e-15,-5.514534824578563e-11,8.356666368374608e-06,0.16004066013315157
-0.1769230769230769,-1.709544971027968e-10,-4.360676675365235e-15,-1.4136644747744852e-10,1.5340542990234887e-05,0.29921735680422645
-0.3038461538461538,-2.611795048737755e-10,-4.6353367230209175e-15,-2.134473574231438e-10,1.6084030508430475e-05,0.3849614127124605
-0.43076923076923074,-3.452694394108119e-10,-4.9527415507131955e-15,-2.792292111229435e-10,9.891224614100535e-06,0.5913642504095143
-0.5576923076923077,-4.246292923005817e-10,-5.323630901426598e-15,-3.40178012242734e-10,1.9375781031038485e-05,0.5735282597878677
-0.6846153846153846,-5.001261882620387e-10,-5.756973832432423e-15,-3.97216126055866e-10,1.1876379047447407e-05,0.6320111319721696
-0.8115384615384615,-5.724030076946039e-10,-6.2630587639636386e-15,-4.510220704269008e-10,1.5197462649221217e-05,0.6030275009192941
-0.9384615384615385,-6.419351657864415e-10,-6.85369747661797e-15,-5.02097005679874e-10,1.1906313483526837e-05,0.5501464940011915
-1.0653846153846154,-7.090663441088189e-10,-7.542561615478143e-15,-5.508071738289896e-10,1.809674251839583e-05,0.9291083849013423
-1.1923076923076923,-7.740566126025888e-10,-8.320379678134853e-15,-5.974312945790433e-10,1.718432218431897e-05,0.9537761003575558
-1.3192307692307692,-8.371340335636352e-10,-9.273324943408798e-15,-6.422078724122155e-10,1.558026351265059e-05,0.8011746139920246
-1.4461538461538461,-8.986350067380638e-10,-1.0326987001501636e-14,-6.854583150768813e-10,9.932627018808413e-06,1.3293410077349856
-1.573076923076923,-9.587811179864564e-10,-1.1609149210395766e-14,-7.274063145659315e-10,1.0930526224222795e-05,0.5733956358848283
-1.7,-1.0170673705826403e-09,-1.3093652362302156e-14,-7.676502571622086e-10,7.061813067604584e-06,0.7511056092538979
-1.8269230769230769,-1.0741356447276331e-09,-1.4791813088968024e-14,-8.067366139479083e-10,1.020694085996739e-05,0.6158665449328672
-1.9538461538461538,-1.1307950890810773e-09,-1.670610291079997e-14,-8.453949918662276e-10,6.4926720569005645e-06,0.7255570658830659
-2.0807692307692305,-1.1848399216233704e-09,-1.9033237551144143e-14,-8.817575935732591e-10,1.8231313651952032e-05,0.7231818991377837
-2.2076923076923074,-1.239788858205304e-09,-2.1569619653695716e-14,-9.188067706093344e-10,1.8660611502784564e-05,0.6145981879760765
-2.3346153846153843,-1.2915974909938943e-09,-2.4695323610178976e-14,-9.531658856938748e-10,1.668377966659969e-05,0.6466075899158772
-2.4615384615384612,-1.3450091560116052e-09,-2.8192930197639672e-14,-9.888025308828435e-10,1.651618281315646e-05,0.6105148437390445
-2.588461538461538,-1.3945052411000386e-09,-3.211702257991921e-14,-1.0211215770097072e-09,1.401802142304226e-05,0.37464045403113244
-2.715384615384615,-1.447071416147373e-09,-3.654134162452762e-14,-1.055980659911056e-09,1.3377435232076239e-05,0.41855875944698695
-2.842307692307692,-1.494291716434633e-09,-4.217876923819174e-14,-1.0862949034479236e-09,1.1907579978450897e-05,0.4378397929869981
-2.969230769230769,-1.54534494025065e-09,-4.8291324996940245e-14,-1.119868180824379e-09,1.0784008188522237e-05,0.4013128716469327
-3.096153846153846,-1.5928233806258782e-09,-5.5296413597424366e-14,-1.1503209458077146e-09,1.0460883235441297e-05,0.366913180975114
-3.2230769230769227,-1.6388957796734361e-09,-6.332921586214231e-14,-1.1796799240824857e-09,9.425262051278816e-06,0.3288174575462266
-3.3499999999999996,-1.6894697879822228e-09,-7.251143412888121e-14,-1.2127616415468074e-09,1.2413481492015142e-05,0.2626131601132625
-3.4769230769230766,-1.7324247475893686e-09,-8.301952655337653e-14,-1.239383175219453e-09,9.142891878834976e-06,0.2419365613183745
-3.6038461538461535,-1.778424059112107e-09,-9.50134600853538e-14,-1.2686913555217337e-09,7.225350158645741e-06,0.20363052220333733
-3.7307692307692304,-1.8276748301916505e-09,-1.086966429681902e-13,-1.3006240789052601e-09,9.61076676235986e-06,0.19289508034808936
-3.8576923076923073,-1.868057058549792e-09,-1.2429155905047667e-13,-1.3250699286766082e-09,1.2786792910080571e-05,0.12869544284223924
-3.9846153846153842,-1.911668869991493e-09,-1.4204785075195696e-13,-1.352387499438576e-09,9.496083300026006e-06,0.09249589592537999
-4.111538461538461,-1.9610853786015192e-09,-1.6206651245711946e-13,-1.3844983697411834e-09,1.7773401344865786e-05,0.22425489296667342
-4.2384615384615385,-2.0013350851081708e-09,-1.8519837335144124e-13,-1.4088061753416362e-09,1.272817236931805e-05,0.21618732293407633
-4.365384615384615,-2.0396089243368495e-09,-2.1125783182381188e-13,-1.431619774007861e-09,1.6821265611486416e-05,0.17164196132893758
-4.4923076923076914,-2.0874824565447517e-09,-2.4081676965374705e-13,-1.4625509326333112e-09,1.7989162579480664e-05,0.12106847843360546
-4.619230769230769,-2.132740261699704e-09,-2.7431348351843884e-13,-1.4911031812386377e-09,1.6949252555773187e-05,0.09590376464796473
-4.746153846153846,-2.1678049911589454e-09,-3.122400718706997e-13,-1.5111175779771077e-09,1.206573916241609e-05,0.1046549224355121
-4.873076923076923,-2.2062408588240504e-09,-3.551424889425569e-13,-1.5341627947074243e-09,1.413574092999391e-05,0.06963560231812324
-5.0,-2.2546502729217446e-09,-4.0363103768187196e-13,-1.5655767110071275e-09,1.3089424121327616e-05,0.07626367547401965
0.0,-1.1002285558745965e-15,-1.0836496945157292e-15,-2.062254973549923e-18,77.72446109035886,0.00022965586214239903
0.08571428571428572,3.348000072323552e-10,7.776214860923568e-14,2.85425609570573e-10,3.8065345255864366e-06,0.0456170727580555
0.17142857142857143,2.105175091201688e-09,2.2962741553635e-12,1.8168403081011989e-09,1.4980072402772062e-06,0.0018259507265265553
0.2571428571428571,1.2090983949528667e-08,6.43201273786848e-11,1.0582416820215057e-08,3.588647398359729e-07,8.032723860182739e-05
0.34285714285714286,7.07733782633957e-08,1.7813799839418796e-09,6.305999573700831e-08,1.3928847201151683e-07,3.507278855296905e-06
0.4285714285714286,4.6150666284587656e-07,4.914131942686559e-08,4.226081545358171e-07,1.5937632924110555e-08,1.4182877556359505e-07
0.5142857142857142,4.147782265217035e-06,1.3526434811543765e-06,3.9553902268935285e-06,3.921832720281156e-09,1.008756523125344e-08
0.6,6.346734424100829e-05,3.716862396011844e-05,6.255101275129946e-05,2.2820187261582435e-10,4.858308849252189e-10
